outcome,treatment,weight,iteration
drinks_per_week,drinks_per_week,0.0,1
drinks_per_week,cardio28,0.0,1
drinks_per_week,cns28,0.0,1
drinks_per_week,coag28,0.0,1
drinks_per_week,hepatic28,0.0,1
drinks_per_week,icufd,0.0,1
drinks_per_week,orgfree28,0.0,1
drinks_per_week,pulmon28,0.0,1
drinks_per_week,renal28,0.0,1
drinks_per_week,vfd,0.0,1
drinks_per_week,death90,0.0,1
cardio28,drinks_per_week,0.030014576096451372,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.3121705327710818,1
cardio28,hepatic28,0.13380756707807479,1
cardio28,icufd,0.2749030383135337,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.1813244552232005,1
cardio28,death90,0.0,1
cns28,drinks_per_week,0.0030848732175516964,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.30426163489657587,1
cns28,hepatic28,0.1601284231303843,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,drinks_per_week,0.037763450691075756,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.0,1
coag28,icufd,0.0,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.12029796941824687,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,drinks_per_week,0.001976646925877349,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.7820027294549894,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.0,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,drinks_per_week,-0.004294728216745355,1
icufd,cardio28,0.0,1
icufd,cns28,0.3415510166573843,1
icufd,coag28,0.4256152300455429,1
icufd,hepatic28,0.10995526390376258,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.08829225674446492,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,drinks_per_week,0.04183101211890669,1
orgfree28,cardio28,0.4408248863428717,1
orgfree28,cns28,0.0,1
orgfree28,coag28,-0.21157653249757938,1
orgfree28,hepatic28,0.26612030028735106,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,-0.07734010437154244,1
orgfree28,renal28,0.5979521209282901,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,drinks_per_week,-0.03625078985127424,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.0,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,drinks_per_week,0.06269353108567512,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.4464671257880453,1
renal28,hepatic28,0.17966015029134166,1
renal28,icufd,0.19299063272153055,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,drinks_per_week,0.005221988470185224,1
vfd,cardio28,0.0,1
vfd,cns28,0.04529845193221174,1
vfd,coag28,0.058871440815002236,1
vfd,hepatic28,0.0,1
vfd,icufd,0.9172871154104567,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.036222257294395044,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,drinks_per_week,0.0,1
death90,cardio28,-0.10679772505337831,1
death90,cns28,-0.005737856917269908,1
death90,coag28,-0.16008921669436355,1
death90,hepatic28,-0.07001894693371884,1
death90,icufd,0.009895566562775834,1
death90,orgfree28,0.07730452927933072,1
death90,pulmon28,0.0007128585672338546,1
death90,renal28,-0.05329141871614443,1
death90,vfd,-0.13540563259115015,1
death90,death90,0.0,1
