treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
drinks_per_week,cardio28,1095,-1e-16,0.17713179762973638,-0.0135931548559943,0.07362230704889677,0.030014576096451372,False,1
coag28,cardio28,1095,0.726833290366736,1.5594860087216341e-145,0.6794687269108785,0.7741978538225945,0.3121705327710818,True,1
hepatic28,cardio28,1095,0.5926671794452298,9.619507126760807e-103,0.5442613846518657,0.6410729742385904,0.13380756707807479,True,1
icufd,cardio28,1095,0.6866757170024975,1.246041640357949e-167,0.6460795974228706,0.7272718365821171,0.2749030383135337,True,1
vfd,cardio28,1095,0.6244151457968972,1.23943948128109e-157,0.585884245680718,0.662946045913081,0.1813244552232005,True,1
drinks_per_week,cns28,1095,-1e-16,0.9062839506535355,-0.048318273352394664,0.05448801978749805,0.0030848732175516964,False,1
coag28,cns28,1095,0.42841382366763403,1.754288727771629e-30,0.35737274884970816,0.49945489848556,0.30426163489657587,True,1
hepatic28,cns28,1095,0.36706487364342477,1.124923935709718e-25,0.3000421511891804,0.4340875960976695,0.1601284231303843,True,1
drinks_per_week,coag28,1095,-1e-16,0.06671176720381274,-0.0026066869544840304,0.07813358833663515,0.037763450691075756,False,1
pulmon28,coag28,1095,0.11680256607029804,0.0001714209088619448,0.05602474816719144,0.1775803839733979,0.12029796941824687,True,1
drinks_per_week,hepatic28,1095,-1e-16,0.9286261373798848,-0.041312463641076956,0.04526575749283115,0.001976646925877349,False,1
coag28,hepatic28,1095,0.7797606798769179,1.287151942448373e-181,0.7362168941918186,0.8233044655620216,0.7820027294549894,True,1
drinks_per_week,icufd,1095,-0.004294728216741817,0.8515839431241288,-0.04932384596810881,0.04073438953461802,-0.004294728216745355,False,1
cns28,icufd,1095,0.48973324610132174,4.9035011003530487e-91,0.44662589139242304,0.5328406008102169,0.3415510166573843,True,1
coag28,icufd,1095,0.6658865105538462,4.109258624153758e-107,0.61290393492278,0.7188690861849124,0.4256152300455429,True,1
hepatic28,icufd,1095,0.5340213152530975,1.1536393774584455e-74,0.48104173876069034,0.5870008917455037,0.10995526390376258,True,1
pulmon28,icufd,1095,0.19887428542340047,7.921083777799735e-09,0.13177682653280637,0.2659717443139931,0.08829225674446492,True,1
drinks_per_week,orgfree28,1095,-1e-16,0.11192300655043332,-0.009761526539925361,0.0934235507777386,0.04183101211890669,False,1
cardio28,orgfree28,1095,0.768210010827912,5.4210246671564684e-132,0.7147788613592904,0.8216411602965336,0.4408248863428717,True,1
coag28,orgfree28,1095,0.7373224312923314,2.9137257470563966e-98,0.6754060642787676,0.7992387983058951,-0.21157653249757938,True,1
hepatic28,orgfree28,1095,0.7261027014524879,6.549653140891018e-112,0.6699089942643853,0.7822964086405896,0.26612030028735106,True,1
pulmon28,orgfree28,1095,0.032731550359342165,0.4112068541454883,-0.04539132796229912,0.1108544286809878,-0.07734010437154244,False,1
renal28,orgfree28,1095,0.7842350800075941,2.2884246167746445e-216,0.745781683787938,0.8226884762272505,0.5979521209282901,True,1
drinks_per_week,pulmon28,1095,-0.03625078985127406,0.06965118033989125,-0.07541971968422108,0.0029181399816725767,-0.03625078985127424,False,1
drinks_per_week,renal28,1095,-1e-16,0.015292560250300822,0.012054094281908276,0.11333296788944157,0.06269353108567512,True,1
coag28,renal28,1095,0.7188368177076443,2.5540489972473457e-96,0.6577217073056065,0.779951928109683,0.4464671257880453,True,1
hepatic28,renal28,1095,0.5865950578505306,2.345624904251145e-70,0.5263116993089357,0.6468784163921256,0.17966015029134166,True,1
icufd,renal28,1095,0.5210015823382808,5.259788407771745e-59,0.4616501771410331,0.5803529875355269,0.19299063272153055,True,1
drinks_per_week,vfd,1095,-1e-16,0.8325557278274964,-0.043229293469047976,0.05367327040941831,0.005221988470185224,False,1
cns28,vfd,1095,0.5129608994910058,1.9526925631002319e-85,0.46602791918072406,0.5598938798012837,0.04529845193221174,True,1
coag28,vfd,1095,0.6937296307091076,5.570724720827895e-99,0.6357368045865331,0.7517224568316817,0.058871440815002236,True,1
icufd,vfd,1095,0.9832075330828488,0.0,0.9572636700655904,1.0091513961001064,0.9172871154104567,True,1
pulmon28,vfd,1095,0.23086060040744805,4.57800499430371e-10,0.1588468020571468,0.30287439875774286,0.036222257294395044,True,1
cardio28,death90,1095,-0.030081991984175493,3.339550861027294e-163,-0.03189408043729261,-0.028269903531058557,-0.10679772505337831,True,1
cns28,death90,1095,-0.013885622990946811,2.853699216345289e-39,-0.015882074654818893,-0.01188917132707489,-0.005737856917269908,True,1
coag28,death90,1095,-0.0356121375920504,2.853487435122057e-215,-0.037365109750863504,-0.03385916543323628,-0.16008921669436355,True,1
hepatic28,death90,1095,-0.028087361361681218,1.8762916401412745e-132,-0.030036431711140562,-0.02613829101222188,-0.07001894693371884,True,1
icufd,death90,1095,-0.027448777361772758,2.4961143952753002e-138,-0.02929948497777251,-0.02559806974577329,0.009895566562775834,True,1
orgfree28,death90,1095,-0.018386381884334335,8.629473375284274e-73,-0.02023823770121844,-0.016534526067450313,0.07730452927933072,True,1
pulmon28,death90,1095,-0.006841379260525554,1.8738229143400018e-06,-0.009642328975644064,-0.004040429545407127,0.0007128585672338546,True,1
renal28,death90,1095,-0.019143862331972628,9.301347986929538e-77,-0.021012037335007998,-0.017275687328937132,-0.05329141871614443,True,1
vfd,death90,1095,-0.026112318345947183,2.7075117764535814e-147,-0.027800158719194945,-0.02442447797269899,-0.13540563259115015,True,1
