outcome,treatment,weight,iteration
alcohol_binary,alcohol_binary,0.0,1
alcohol_binary,cardio28,0.0,1
alcohol_binary,cns28,0.0,1
alcohol_binary,coag28,0.0,1
alcohol_binary,hepatic28,0.0,1
alcohol_binary,icufd,0.0,1
alcohol_binary,orgfree28,0.0,1
alcohol_binary,pulmon28,0.0,1
alcohol_binary,renal28,0.0,1
alcohol_binary,vfd,0.0,1
alcohol_binary,death90,0.0,1
cardio28,alcohol_binary,0.728491086587436,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.29976221655965346,1
cardio28,hepatic28,0.1623061494203283,1
cardio28,icufd,0.25986246754194986,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.18318013791969023,1
cardio28,death90,0.0,1
cns28,alcohol_binary,-0.009985144312394568,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.41693921296796027,1
cns28,hepatic28,0.0,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,alcohol_binary,1.4206812393887955,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.0,1
coag28,icufd,0.0,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.12833989158400935,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,alcohol_binary,0.31984295415959074,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.7849107576390695,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.0,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,alcohol_binary,-0.4557512733446519,1
icufd,cardio28,0.0,1
icufd,cns28,0.35387326544974423,1
icufd,coag28,0.39044551019979384,1
icufd,hepatic28,0.14480256607345438,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.10645465517659497,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,alcohol_binary,1.6130305602716464,1
orgfree28,cardio28,0.4838635581330802,1
orgfree28,cns28,-0.04838995128400431,1
orgfree28,coag28,-0.1785883979622649,1
orgfree28,hepatic28,0.20031733460372889,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,-0.09704664346846667,1
orgfree28,renal28,0.5966944453027562,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,alcohol_binary,-1.3847092529711373,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.0,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,alcohol_binary,2.1344758064516123,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.4301288606540433,1
renal28,hepatic28,0.1842939522701951,1
renal28,icufd,0.0965656721627388,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.09517744419137648,1
renal28,death90,0.0,1
vfd,alcohol_binary,-0.12609295415959162,1
vfd,cardio28,0.0,1
vfd,cns28,0.06331085193714969,1
vfd,coag28,0.050642298211858186,1
vfd,hepatic28,0.0,1
vfd,icufd,0.9215025036342189,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,alcohol_binary,0.0,1
death90,cardio28,-0.10403699977939779,1
death90,cns28,0.012120614146427918,1
death90,coag28,-0.17048035605657527,1
death90,hepatic28,-0.07704037620970718,1
death90,icufd,-0.007615694065782791,1
death90,orgfree28,0.08493094837625219,1
death90,pulmon28,-0.018619282130214784,1
death90,renal28,-0.04816408656258755,1
death90,vfd,-0.12337245244237326,1
death90,death90,0.0,1
