treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
alcohol_binary,cardio28,749,-1e-16,0.4059171089788115,-0.9913069811109603,2.448289154285834,0.728491086587436,False,1
coag28,cardio28,749,0.724333519215643,1.115582532752963e-99,0.6670564215194886,0.7816106169117935,0.29976221655965346,True,1
hepatic28,cardio28,749,0.614710251220826,1.0987035306498512e-76,0.5569482273104046,0.6724722751312465,0.1623061494203283,True,1
icufd,cardio28,749,0.6919629265504614,4.193697947664406e-111,0.6411846314851549,0.7427412216157679,0.25986246754194986,True,1
vfd,cardio28,749,0.6275593136295932,1.3519020124454828e-104,0.5795396812946094,0.6755789459645822,0.18318013791969023,True,1
alcohol_binary,cns28,749,-0.009985144312395278,0.992041315802527,-1.9744890762562368,1.9545187876314503,-0.009985144312394568,False,1
coag28,cns28,749,0.4163088589630588,1.5695453591984372e-21,0.3331750705948525,0.4994426473312644,0.41693921296796027,True,1
alcohol_binary,coag28,749,-1e-16,0.08056269763193638,-0.17321303899966645,3.014575517777253,1.4206812393887955,False,1
pulmon28,coag28,749,0.12117194651591845,0.0020256924218346514,0.044371368786095156,0.19797252424575204,0.12833989158400935,True,1
alcohol_binary,hepatic28,749,-1e-16,0.7119194667150466,-1.3798436024027776,2.0195295107219597,0.31984295415959074,False,1
coag28,hepatic28,749,0.7832705365325694,1.1543392072586774e-128,0.7315144675404738,0.835026605524665,0.7849107576390695,True,1
alcohol_binary,icufd,749,-0.45575127334465115,0.6070607115735165,-2.1947616529344276,1.2832591062451257,-0.4557512733446519,False,1
cns28,icufd,749,0.5095296390655761,2.83649006293259e-67,0.4575219840969521,0.561537294034201,0.35387326544974423,True,1
coag28,icufd,749,0.6624265770608645,5.386673498758673e-77,0.6003410416294355,0.7245121124922937,0.39044551019979384,True,1
hepatic28,icufd,749,0.5470750585545323,1.3299016632970595e-56,0.48496606947568627,0.609184047633378,0.14480256607345438,True,1
pulmon28,icufd,749,0.22104380588509187,1.988123024224418e-07,0.13838293826694897,0.30370467350322133,0.10645465517659497,True,1
alcohol_binary,orgfree28,749,-1e-16,0.11030860894809359,-0.36770310061819234,3.5937642211614866,1.6130305602716464,False,1
cardio28,orgfree28,749,0.7655781282586985,2.348619141223727e-96,0.7036366860047142,0.8275195705126829,0.4838635581330802,True,1
cns28,orgfree28,749,0.278458496229506,1.5631506748102907e-14,0.20872528364363643,0.34819170881538186,-0.04838995128400431,True,1
coag28,orgfree28,749,0.7234166338453907,3.2945978768595547e-69,0.6508766231801142,0.7959566445106685,-0.1785883979622649,True,1
hepatic28,orgfree28,749,0.7037754742055022,2.4711274019848407e-75,0.6368891118166734,0.7706618365943304,0.20031733460372889,True,1
pulmon28,orgfree28,749,0.009984352946467823,0.8382994403090157,-0.08603160917913985,0.10600031507208788,-0.09704664346846667,False,1
renal28,orgfree28,749,0.7779365248716482,4.112267670753238e-149,0.7319189352810863,0.8239541144622095,0.5966944453027562,True,1
alcohol_binary,pulmon28,749,-1.384709252971136,0.06681049962950833,-2.8656134700163496,0.09619496407407535,-1.3847092529711373,False,1
alcohol_binary,renal28,749,-1e-16,0.03309855914640401,0.17166974200388974,4.097281870899332,2.1344758064516123,True,1
coag28,renal28,749,0.7080028600007497,5.893346970034381e-67,0.6355232960073769,0.7804824239941208,0.4301288606540433,True,1
hepatic28,renal28,749,0.588910315411975,1.7224406755835697e-50,0.5172750062425857,0.6605456245813686,0.1842939522701951,True,1
icufd,renal28,749,0.5261756029010325,2.0200040472877385e-41,0.4541899714842157,0.5981612343178453,0.0965656721627388,True,1
vfd,renal28,749,0.4776011110658107,1.3812564018956011e-39,0.4104998256441732,0.5447023964874561,0.09517744419137648,True,1
alcohol_binary,vfd,749,-0.1260929541595921,0.8950833008707864,-2.002527307467699,1.7503413991485162,-0.12609295415959162,False,1
cns28,vfd,749,0.5446336467370667,8.415406801942283e-66,0.4882708938473522,0.6009963996267765,0.06331085193714969,True,1
coag28,vfd,749,0.6888489415524907,2.3260340087856063e-70,0.6204875138924486,0.7572103692125327,0.050642298211858186,True,1
icufd,vfd,749,0.989207944521567,3.1604752542032085e-300,0.9582823280948238,1.0201335609483104,0.9215025036342189,True,1
cardio28,death90,749,-0.029806037847249778,6.671695279537712e-106,-0.032067327990585426,-0.027544747703914067,-0.10403699977939779,True,1
cns28,death90,749,-0.01420426754881221,2.724925538336932e-26,-0.016733601529132756,-0.011674933568491494,0.012120614146427918,True,1
coag28,death90,749,-0.03590141787910839,3.9572730934812175e-147,-0.03804708141086488,-0.03375575434735123,-0.17048035605657527,True,1
hepatic28,death90,749,-0.029056177867845534,1.1196015190112122e-95,-0.03141824521751507,-0.026694110518176554,-0.07704037620970718,True,1
icufd,death90,749,-0.028374524446480143,1.7660073672687977e-95,-0.03068438727473022,-0.026064661618230272,-0.007615694065782791,True,1
orgfree28,death90,749,-0.019304380364531804,1.2794822263791679e-51,-0.021621594746571517,-0.016987165982491784,0.08493094837625219,True,1
pulmon28,death90,749,-0.0076200484669992075,3.090044910641369e-05,-0.01118817257010802,-0.004051924363890552,-0.018619282130214784,True,1
renal28,death90,749,-0.01947956639741877,9.080042519692892e-52,-0.02181376135661785,-0.017145371438219214,-0.04816408656258755,True,1
vfd,death90,749,-0.026631386601766227,1.0359792161122661e-98,-0.028751250220315654,-0.02451152298321628,-0.12337245244237326,True,1
