outcome,treatment,weight,iteration
alcohol_binary,alcohol_binary,0.0,1
alcohol_binary,cardio28,0.0,1
alcohol_binary,cns28,0.0,1
alcohol_binary,coag28,0.0,1
alcohol_binary,hepatic28,0.0,1
alcohol_binary,icufd,0.0,1
alcohol_binary,orgfree28,0.0,1
alcohol_binary,pulmon28,0.0,1
alcohol_binary,renal28,0.0,1
alcohol_binary,vfd,0.0,1
alcohol_binary,death90,0.0,1
cardio28,alcohol_binary,1.5016877269036408,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.31711161558143186,1
cardio28,hepatic28,0.13374858913814647,1
cardio28,icufd,0.2746132149059631,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.17807730767466445,1
cardio28,death90,0.0,1
cns28,alcohol_binary,1.0768972667547994,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.30138084289143896,1
cns28,hepatic28,0.15834043791863187,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,alcohol_binary,1.5756960615231814,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.0,1
coag28,icufd,0.0,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.12039714698100817,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,alcohol_binary,0.6910386063335051,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.7821466775607654,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.0,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,alcohol_binary,0.9768080151928965,1
icufd,cardio28,0.0,1
icufd,cns28,0.33903695731746625,1
icufd,coag28,0.42467824155754547,1
icufd,hepatic28,0.1074304925066305,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.09567252048065912,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,alcohol_binary,1.9854613903111717,1
orgfree28,cardio28,0.44009854749347993,1
orgfree28,cns28,0.0,1
orgfree28,coag28,-0.21526634379864681,1
orgfree28,hepatic28,0.26635959863417735,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,-0.07463730340332261,1
orgfree28,renal28,0.5978845819532348,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,alcohol_binary,-0.5345363280699521,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.0,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,alcohol_binary,2.0850439882697955,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.4448173053937976,1
renal28,hepatic28,0.17963370236474954,1
renal28,icufd,0.1915332093260806,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,alcohol_binary,1.3030325399115519,1
vfd,cardio28,0.0,1
vfd,cns28,0.04756002530174662,1
vfd,coag28,0.05585637484872175,1
vfd,hepatic28,0.0,1
vfd,icufd,0.9183342833723261,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.03697701749512425,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,alcohol_binary,0.0,1
death90,cardio28,-0.10394666544088099,1
death90,cns28,-0.006896158830298149,1
death90,coag28,-0.162481030482406,1
death90,hepatic28,-0.06808913655431025,1
death90,icufd,0.010907562604855902,1
death90,orgfree28,0.07214538748793317,1
death90,pulmon28,-0.0003006191548953054,1
death90,renal28,-0.05363764280080233,1
death90,vfd,-0.14406142331167787,1
death90,death90,0.0,1
