outcome,treatment,weight,iteration
alcohol_binary,alcohol_binary,0.0,1
alcohol_binary,cardio28,0.0,1
alcohol_binary,cns28,0.0,1
alcohol_binary,coag28,0.0,1
alcohol_binary,hepatic28,0.0,1
alcohol_binary,icufd,0.0,1
alcohol_binary,orgfree28,0.0,1
alcohol_binary,pulmon28,0.0,1
alcohol_binary,renal28,0.0,1
alcohol_binary,vfd,0.0,1
alcohol_binary,death90,0.0,1
cardio28,alcohol_binary,1.8592353062406168,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.2943905792842652,1
cardio28,hepatic28,0.14727251193206825,1
cardio28,icufd,0.2643244935891305,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.19453523588871724,1
cardio28,death90,0.0,1
cns28,alcohol_binary,1.579501849907259,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.28068098606786207,1
cns28,hepatic28,0.1823598763372749,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,alcohol_binary,1.6473792162674092,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.0,1
coag28,icufd,0.0,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.12194040102288466,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,alcohol_binary,0.8626897749688417,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.7671862337707124,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.0,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,alcohol_binary,1.6392631775224016,1
icufd,cardio28,0.0,1
icufd,cns28,0.33594292383539054,1
icufd,coag28,0.44911067601575577,1
icufd,hepatic28,0.08068395156425154,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.09189606605521908,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,alcohol_binary,2.1576837394623993,1
orgfree28,cardio28,0.432816527920008,1
orgfree28,cns28,0.0,1
orgfree28,coag28,-0.17805436528146087,1
orgfree28,hepatic28,0.22329638825385448,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,-0.07403219654349817,1
orgfree28,renal28,0.6000965009945489,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,alcohol_binary,-0.14139277898269834,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.0,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,alcohol_binary,2.062185344023869,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.3858858039944708,1
renal28,hepatic28,0.2401066648446765,1
renal28,icufd,0.197322108788659,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,alcohol_binary,1.9638998204068827,1
vfd,cardio28,0.0,1
vfd,cns28,0.05379211444807106,1
vfd,coag28,0.05840134096276813,1
vfd,hepatic28,0.0,1
vfd,icufd,0.9072847243544014,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.04158963728173922,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,alcohol_binary,0.0,1
death90,cardio28,-0.10648744669961065,1
death90,cns28,-0.00403097777967045,1
death90,coag28,-0.17705741079738418,1
death90,hepatic28,-0.07680489079913481,1
death90,icufd,-0.002687810364415258,1
death90,orgfree28,0.09909060365529768,1
death90,pulmon28,0.0026911633809639335,1
death90,renal28,-0.07755680555985645,1
death90,vfd,-0.12711681827855642,1
death90,death90,0.0,1
