treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
alcohol_binary,cardio28,935,-1e-16,0.004398254951162145,0.5812344666678471,3.137236145813386,1.8592353062406168,True,1
coag28,cardio28,935,0.7181726944705846,2.285810705061823e-124,0.6674685201801063,0.7688768687610599,0.2943905792842652,True,1
hepatic28,cardio28,935,0.599598889975808,3.979106338209938e-88,0.5466398257365875,0.652557954215024,0.14727251193206825,True,1
icufd,cardio28,935,0.6916995459906694,2.0211835356161765e-145,0.6478698583101083,0.7355292336712296,0.2643244935891305,True,1
vfd,cardio28,935,0.627548754006682,2.4211253741553538e-136,0.5859472705921684,0.6691502374211977,0.19453523588871724,True,1
alcohol_binary,cns28,935,-1e-16,0.03916726340581415,0.07863561609739467,3.080368083717124,1.579501849907259,True,1
coag28,cns28,935,0.4267658968165423,6.218590873022604e-27,0.3512436847668267,0.5022881088662579,0.28068098606786207,True,1
hepatic28,cns28,935,0.38376228133127244,6.87030788545723e-24,0.31108065781056854,0.45644390485197733,0.1823598763372749,True,1
alcohol_binary,coag28,935,-1e-16,0.0071002920755086,0.44911384606891347,2.845644586465907,1.6473792162674092,True,1
pulmon28,coag28,935,0.11925490382427029,0.00036474970513247757,0.053835017552494355,0.18467479009604587,0.12194040102288466,True,1
alcohol_binary,hepatic28,935,-1e-16,0.17871186985127327,-0.3953775975890016,2.1207571475266898,0.8626897749688417,False,1
coag28,hepatic28,935,0.76611186945075,1.4812652844715375e-157,0.7202749165063379,0.8119488223951595,0.7671862337707124,True,1
alcohol_binary,icufd,935,-1e-16,0.014762922173942998,0.32224279989077775,2.9562835551540223,1.6392631775224016,True,1
cns28,icufd,935,0.4909709317942479,5.779581385749519e-78,0.44418042135473323,0.537761442233759,0.33594292383539054,True,1
coag28,icufd,935,0.6684176711311202,8.099542518428072e-96,0.6124221369781194,0.7244132052841211,0.44911067601575577,True,1
hepatic28,icufd,935,0.538343839058141,6.34316244637868e-64,0.48048437791195203,0.5962033002043303,0.08068395156425154,True,1
pulmon28,icufd,935,0.19583034256116427,8.709665217985724e-08,0.12458856588026804,0.26707211924206786,0.09189606605521908,True,1
alcohol_binary,orgfree28,935,-1e-16,0.005086915742589036,0.6497518002197193,3.6656156787050787,2.1576837394623993,True,1
cardio28,orgfree28,935,0.7568116274015873,1.537724477634501e-109,0.6986650670405252,0.8149581877626493,0.432816527920008,True,1
coag28,orgfree28,935,0.7225215981682875,4.931312041590462e-83,0.6562905794076406,0.7887526169289323,-0.17805436528146087,True,1
hepatic28,orgfree28,935,0.7239070919313761,2.8571069717551115e-93,0.6622153513181948,0.7855988325445589,0.22329638825385448,True,1
pulmon28,orgfree28,935,0.04013095205343653,0.3422017603038322,-0.04274467431033272,0.12300657841721513,-0.07403219654349817,False,1
renal28,orgfree28,935,0.7830812007009843,4.7472668986006504e-188,0.7420368097483321,0.8241255916536365,0.6000965009945489,True,1
alcohol_binary,pulmon28,935,-0.14139277898269942,0.8131061231670401,-1.3147504996686712,1.031964941703275,-0.14139277898269834,False,1
alcohol_binary,renal28,935,-1e-16,0.006820424668393855,0.5696489304253141,3.5547217576224255,2.062185344023869,True,1
coag28,renal28,935,0.7062077430413529,1.2619446783412245e-80,0.6402817234631493,0.7721337626195561,0.3858858039944708,True,1
hepatic28,renal28,935,0.6176728164140712,1.2244247120394668e-65,0.5523304402153281,0.6830151926128095,0.2401066648446765,True,1
icufd,renal28,935,0.5314030218351942,3.3284341429690476e-52,0.4670313304264111,0.5957747132439903,0.197322108788659,True,1
alcohol_binary,vfd,935,-1e-16,0.006684714123950704,0.5460076243258929,3.3817920164878696,1.9638998204068827,True,1
cns28,vfd,935,0.5177529958715894,3.983304013199835e-74,0.4668619702979213,0.568644021445265,0.05379211444807106,True,1
coag28,vfd,935,0.6931459699857646,3.252582775043995e-87,0.6315238454580668,0.7547680945134617,0.05840134096276813,True,1
icufd,vfd,935,0.9807943059542176,0.0,0.9521439876767163,1.009444624231719,0.9072847243544014,True,1
pulmon28,vfd,935,0.23261746544250883,3.415017782455807e-09,0.15611959394653976,0.3091153369384867,0.04158963728173922,True,1
cardio28,death90,935,-0.02961682596474524,5.041628468124293e-134,-0.0316036350119691,-0.027630016917520914,-0.10648744669961065,True,1
cns28,death90,935,-0.013933471288234578,9.786567319822483e-34,-0.016103466453279886,-0.011763476123189398,-0.00403097777967045,True,1
coag28,death90,935,-0.035500751600326286,9.506531752299384e-190,-0.03734858676905255,-0.033652916431600524,-0.17705741079738418,True,1
hepatic28,death90,935,-0.028213200099365676,9.603115790978798e-112,-0.030352637768892608,-0.02607376242983841,-0.07680489079913481,True,1
icufd,death90,935,-0.027606192977741695,9.366390840888156e-120,-0.02960547430843947,-0.025606911647044085,-0.002687810364415258,True,1
orgfree28,death90,935,-0.01815005201243286,2.578444918465632e-60,-0.02016943511479614,-0.016130668910069184,0.09909060365529768,True,1
pulmon28,death90,935,-0.0068389684899747005,7.368502404401642e-06,-0.009816094513451244,-0.003861842466498274,0.0026911633809639335,True,1
renal28,death90,935,-0.019463893177036562,4.876212623633511e-69,-0.02146134501418187,-0.01746644133989174,-0.07755680555985645,True,1
vfd,death90,935,-0.026105345156853477,6.439684932471921e-126,-0.027933015838107412,-0.024277674475599222,-0.12711681827855642,True,1
