outcome,treatment,weight,iteration
drinks_per_week,drinks_per_week,0.0,1
drinks_per_week,cardio28,0.0,1
drinks_per_week,cns28,0.0,1
drinks_per_week,coag28,0.0,1
drinks_per_week,hepatic28,0.0,1
drinks_per_week,icufd,0.0,1
drinks_per_week,orgfree28,0.0,1
drinks_per_week,pulmon28,0.0,1
drinks_per_week,renal28,0.0,1
drinks_per_week,vfd,0.0,1
drinks_per_week,death90,0.0,1
cardio28,drinks_per_week,-0.02526106755616811,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.19482216142778414,1
cardio28,coag28,0.0,1
cardio28,hepatic28,0.0,1
cardio28,icufd,0.0,1
cardio28,orgfree28,0.56825816307179,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.0,1
cardio28,death90,0.0,1
cns28,drinks_per_week,-0.05187032418952618,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.0,1
cns28,hepatic28,0.0,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.35367992525978154,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,drinks_per_week,-0.025447294835940878,1
coag28,cardio28,0.20323195435176772,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.3634440229744876,1
coag28,icufd,0.27578191782081674,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.0,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,drinks_per_week,-0.029301868054732883,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.0,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.5690430779291102,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.3942989469925538,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,drinks_per_week,-0.1010359834120612,1
icufd,cardio28,0.42370270812961613,1
icufd,cns28,0.3760639802079943,1
icufd,coag28,0.0,1
icufd,hepatic28,0.17821331518151975,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.0,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,drinks_per_week,0.00035211420131794387,1
orgfree28,cardio28,0.0,1
orgfree28,cns28,0.0,1
orgfree28,coag28,0.0,1
orgfree28,hepatic28,0.0,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,0.0,1
orgfree28,renal28,0.0,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,drinks_per_week,-0.049885105226511545,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.0,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,drinks_per_week,-0.07173517004256974,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.0,1
renal28,hepatic28,0.0,1
renal28,icufd,0.0,1
renal28,orgfree28,0.6555428556638041,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,drinks_per_week,-0.09346952082071087,1
vfd,cardio28,0.0,1
vfd,cns28,0.0,1
vfd,coag28,0.0,1
vfd,hepatic28,0.0,1
vfd,icufd,0.9968569913465631,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,drinks_per_week,0.0,1
death90,cardio28,-0.3796130503876367,1
death90,cns28,0.3882536334893849,1
death90,coag28,-0.17416190151603356,1
death90,hepatic28,-0.2886786774358812,1
death90,icufd,0.076908707109016,1
death90,orgfree28,0.31222536823235986,1
death90,pulmon28,-0.4636691289198979,1
death90,renal28,0.2377431260619433,1
death90,vfd,-0.8995446169733926,1
death90,death90,0.0,1
