treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
drinks_per_week,cardio28,54,-0.02526106755616553,0.6711598388828381,-0.14397989459447869,0.09345775948214274,-0.02526106755616811,False,1
cns28,cardio28,54,0.3524575674414656,0.005066786603534811,0.11082098092161793,0.5940941539613208,0.19482216142778414,True,1
orgfree28,cardio28,54,0.6225560003940878,7.962571362694612e-08,0.42242792608879226,0.8226840746993789,0.56825816307179,True,1
drinks_per_week,cns28,54,-0.05187032418953663,0.41282618364824164,-0.1779491327181787,0.07420848433912648,-0.05187032418952618,False,1
pulmon28,cns28,54,0.3675288044620597,0.038136057680144296,0.020885230813681765,0.7141723781104461,0.35367992525978154,True,1
drinks_per_week,coag28,54,-0.025447294835934997,0.6654521828425289,-0.14286874513206982,0.09197415546018833,-0.025447294835940878,False,1
cardio28,coag28,54,0.6306237935756354,2.1666280616433611e-07,0.41856961926493474,0.842677967886336,0.20323195435176772,True,1
hepatic28,coag28,54,0.590910389350702,3.01554458833772e-09,0.42472029873344136,0.7571004799679608,0.3634440229744876,True,1
icufd,coag28,54,0.6522525728860771,5.728745760486836e-08,0.4455607647656119,0.8589443810065516,0.27578191782081674,True,1
drinks_per_week,hepatic28,54,-0.029301868054737668,0.675741775820042,-0.1690809157261456,0.11047717961668008,-0.029301868054732883,False,1
orgfree28,hepatic28,54,0.8274713168713248,1.784381779592744e-10,0.61748220130689,1.0374604324357555,0.5690430779291102,True,1
renal28,hepatic28,54,0.7465191727121159,1.0118794065517381e-08,0.5263938184699554,0.9666445269542782,0.3942989469925538,True,1
drinks_per_week,icufd,54,-0.10103598341205178,0.08543987176328025,-0.21666989155365252,0.014597924729530379,-0.1010359834120612,False,1
cardio28,icufd,54,0.6998597660567853,4.0188266120851075e-09,0.5008464509789359,0.898873081134637,0.42370270812961613,True,1
cns28,icufd,54,0.599944360244236,1.9069544480351049e-07,0.39938690775378877,0.8005018127346819,0.3760639802079943,True,1
hepatic28,icufd,54,0.4859028194361139,6.315154169960735e-06,0.2918571124763609,0.6799485263958642,0.17821331518151975,True,1
drinks_per_week,orgfree28,54,-1e-16,0.9955125370069677,-0.12467479018397881,0.12537901858661482,0.00035211420131794387,False,1
drinks_per_week,pulmon28,54,-0.04988510522651168,0.3054608630731764,-0.14660231264784473,0.04683210219482173,-0.049885105226511545,False,1
drinks_per_week,renal28,54,-0.0717351700425688,0.26286858065854357,-0.1989080013867168,0.05543766130157765,-0.07173517004256974,False,1
orgfree28,renal28,54,0.6554173272071058,2.2923561837906423e-07,0.43445107760601787,0.8763835768081844,0.6555428556638041,True,1
drinks_per_week,vfd,54,-0.09346952082072058,0.13886269166495238,-0.21825187722368922,0.031312835582267703,-0.09346952082071087,False,1
icufd,vfd,54,0.992852270368064,8.613371130307436e-24,0.8810208943266387,1.1046836464094898,0.9968569913465631,True,1
cardio28,death90,54,-0.03153118967878177,3.97270824082234e-08,-0.04136772413318224,-0.02169465522438135,-0.3796130503876367,True,1
cns28,death90,54,-0.020963437145912422,0.00031175592755526533,-0.031852044026560215,-0.010074830265264527,0.3882536334893849,True,1
coag28,death90,54,-0.028565069001335597,1.9372615145677065e-06,-0.03926076271558008,-0.017869375287090948,-0.17416190151603356,True,1
hepatic28,death90,54,-0.023966635244380252,2.0158742875271243e-06,-0.03295926993013176,-0.014974000558627621,-0.2886786774358812,True,1
icufd,death90,54,-0.03659874840584887,7.335143129470219e-12,-0.0449534211781614,-0.02824407563353596,0.076908707109016,True,1
orgfree28,death90,54,-0.017447223938881096,0.003819288202463383,-0.029007166698726976,-0.005887281179034979,0.31222536823235986,True,1
pulmon28,death90,54,-0.009493129457542493,0.23412830751103894,-0.02531782631380481,0.006331567398719927,-0.4636691289198979,False,1
renal28,death90,54,-0.02243387554634324,7.394247552651028e-05,-0.03288941741128154,-0.011978333681405344,0.2377431260619433,True,1
vfd,death90,54,-0.038289194002412374,2.6405458891035238e-17,-0.04443122049121964,-0.03214716751360602,-0.8995446169733926,True,1
