outcome,treatment,weight,iteration
alcohol_binary,alcohol_binary,0.0,1
alcohol_binary,cardio28,0.0,1
alcohol_binary,cns28,0.0,1
alcohol_binary,coag28,0.0,1
alcohol_binary,hepatic28,0.0,1
alcohol_binary,icufd,0.0,1
alcohol_binary,orgfree28,0.0,1
alcohol_binary,pulmon28,0.0,1
alcohol_binary,renal28,0.0,1
alcohol_binary,vfd,0.0,1
alcohol_binary,death90,0.0,1
cardio28,alcohol_binary,-3.941818181818183,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.0,1
cardio28,hepatic28,0.0,1
cardio28,icufd,0.0,1
cardio28,orgfree28,0.6060577727912235,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.0,1
cardio28,death90,0.0,1
cns28,alcohol_binary,-4.834545454545456,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.0,1
cns28,hepatic28,0.0,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,alcohol_binary,-2.763636363636365,1
coag28,cardio28,0.21844321979459097,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.35054951601989187,1
coag28,icufd,0.3004773098668721,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.0,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,alcohol_binary,-2.3654545454545457,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.0,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.5776841603533666,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.3854238281272798,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,alcohol_binary,-7.983636363636366,1
icufd,cardio28,0.40907509445080237,1
icufd,cns28,0.3565759472508954,1
icufd,coag28,0.0,1
icufd,hepatic28,0.20052523527141192,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.0,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,alcohol_binary,-0.2927272727272729,1
orgfree28,cardio28,0.0,1
orgfree28,cns28,0.0,1
orgfree28,coag28,0.0,1
orgfree28,hepatic28,0.0,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,0.0,1
orgfree28,renal28,0.0,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,alcohol_binary,-3.507272727272728,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.0,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,alcohol_binary,-4.194545454545456,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.0,1
renal28,hepatic28,0.0,1
renal28,icufd,0.0,1
renal28,orgfree28,0.6565243717832272,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,alcohol_binary,-7.770909090909092,1
vfd,cardio28,0.0,1
vfd,cns28,0.0,1
vfd,coag28,0.0,1
vfd,hepatic28,0.0,1
vfd,icufd,0.9720394015181427,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,alcohol_binary,0.0,1
death90,cardio28,-0.14769196150267155,1
death90,cns28,0.055048018716291995,1
death90,coag28,0.04143150365826104,1
death90,hepatic28,-0.18364178001171647,1
death90,icufd,0.5391229779173152,1
death90,orgfree28,-0.20407621615654642,1
death90,pulmon28,-0.41985836919101693,1
death90,renal28,0.003332337307605597,1
death90,vfd,-1.1610834981101834,1
death90,death90,0.0,1
