outcome,treatment,weight,iteration
alcohol_binary,alcohol_binary,0.0,1
alcohol_binary,cardio28,0.0,1
alcohol_binary,cns28,0.0,1
alcohol_binary,coag28,0.0,1
alcohol_binary,hepatic28,0.0,1
alcohol_binary,icufd,0.0,1
alcohol_binary,orgfree28,0.0,1
alcohol_binary,pulmon28,0.0,1
alcohol_binary,renal28,0.0,1
alcohol_binary,vfd,0.0,1
alcohol_binary,death90,0.0,1
cardio28,alcohol_binary,-2.0703448275862075,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.0,1
cardio28,hepatic28,0.0,1
cardio28,icufd,0.0,1
cardio28,orgfree28,0.6325891856986595,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.0,1
cardio28,death90,0.0,1
cns28,alcohol_binary,-2.293793103448277,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.0,1
cns28,hepatic28,0.0,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.3511410104207888,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,alcohol_binary,-1.5034482758620697,1
coag28,cardio28,0.21818409963765875,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.35610449255492466,1
coag28,icufd,0.2600211707129193,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.0,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,alcohol_binary,-0.18206896551724153,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.0,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.5810693004928721,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.383946831071366,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,alcohol_binary,-6.120000000000002,1
icufd,cardio28,0.4128856033176388,1
icufd,cns28,0.3832852166849888,1
icufd,coag28,0.0,1
icufd,hepatic28,0.20004820264777548,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.0,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,alcohol_binary,2.0317241379310356,1
orgfree28,cardio28,0.0,1
orgfree28,cns28,0.0,1
orgfree28,coag28,0.0,1
orgfree28,hepatic28,0.0,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,0.0,1
orgfree28,renal28,0.0,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,alcohol_binary,-3.0386206896551737,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.0,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,alcohol_binary,-2.44689655172414,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.0,1
renal28,hepatic28,0.0,1
renal28,icufd,0.0,1
renal28,orgfree28,0.674081785954323,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,alcohol_binary,-5.7489655172413805,1
vfd,cardio28,0.0,1
vfd,cns28,0.0,1
vfd,coag28,0.0,1
vfd,hepatic28,0.0,1
vfd,icufd,1.0716310770544855,1
vfd,orgfree28,-0.15293013201291475,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,alcohol_binary,0.0,1
death90,cardio28,-0.30049077214961506,1
death90,cns28,0.03842942086948457,1
death90,coag28,-0.08973761103514684,1
death90,hepatic28,-0.25088360500523654,1
death90,icufd,0.5288021830779321,1
death90,orgfree28,0.13094289242069498,1
death90,pulmon28,-0.6820899278818429,1
death90,renal28,-0.08105472987875256,1
death90,vfd,-1.067338241203374,1
death90,death90,0.0,1
