treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
alcohol_binary,cardio28,54,-2.0703448275862044,0.46625831506392157,-7.730522471480344,3.5898328163079283,-2.0703448275862075,False,1
orgfree28,cardio28,54,0.6225560003940878,7.962571362694612e-08,0.42242792608879226,0.8226840746993789,0.6325891856986595,True,1
alcohol_binary,cns28,54,-2.2937931034482695,0.4492681706216435,-8.331117290166228,3.7435310832696764,-2.293793103448277,False,1
pulmon28,cns28,54,0.3675288044620597,0.038136057680144296,0.020885230813681765,0.7141723781104461,0.3511410104207888,True,1
alcohol_binary,coag28,54,-1.5034482758620697,0.5931641902996028,-7.1154899830430605,4.1085934313189245,-1.5034482758620697,False,1
cardio28,coag28,54,0.6306237935756354,2.1666280616433611e-07,0.41856961926493474,0.842677967886336,0.21818409963765875,True,1
hepatic28,coag28,54,0.590910389350702,3.01554458833772e-09,0.42472029873344136,0.7571004799679608,0.35610449255492466,True,1
icufd,coag28,54,0.6522525728860771,5.728745760486836e-08,0.4455607647656119,0.8589443810065516,0.2600211707129193,True,1
alcohol_binary,hepatic28,54,-0.18206896551724228,0.9567103822972635,-6.880235010484288,6.516097079449805,-0.18206896551724153,False,1
orgfree28,hepatic28,54,0.8274713168713248,1.784381779592744e-10,0.61748220130689,1.0374604324357555,0.5810693004928721,True,1
renal28,hepatic28,54,0.7465191727121159,1.0118794065517381e-08,0.5263938184699554,0.9666445269542782,0.383946831071366,True,1
alcohol_binary,icufd,54,-6.120000000000001,0.027993843525573023,-11.552372889334823,-0.6876271106651801,-6.120000000000002,True,1
cardio28,icufd,54,0.6998597660567853,4.0188266120851075e-09,0.5008464509789359,0.898873081134637,0.4128856033176388,True,1
cns28,icufd,54,0.599944360244236,1.9069544480351049e-07,0.39938690775378877,0.8005018127346819,0.3832852166849888,True,1
hepatic28,icufd,54,0.4859028194361139,6.315154169960735e-06,0.2918571124763609,0.6799485263958642,0.20004820264777548,True,1
alcohol_binary,orgfree28,54,-1e-16,0.49658175854351694,-3.922748682364986,7.986196958227056,2.0317241379310356,False,1
alcohol_binary,pulmon28,54,-3.03862068965517,0.19052630629075867,-7.635844390789223,1.5586030114788771,-3.0386206896551737,False,1
alcohol_binary,renal28,54,-2.4468965517241443,0.426081435083992,-8.567544106213031,3.673751002764755,-2.44689655172414,False,1
orgfree28,renal28,54,0.6554173272071058,2.2923561837906423e-07,0.43445107760601787,0.8763835768081844,0.674081785954323,True,1
alcohol_binary,vfd,54,-5.748965517241377,0.05530385435144375,-11.633230753163174,0.1352997186804128,-5.7489655172413805,False,1
icufd,vfd,54,0.992852270368064,8.613371130307436e-24,0.8810208943266387,1.1046836464094898,1.0716310770544855,True,1
orgfree28,vfd,54,0.4185900708457613,0.002043719456422654,0.15990917917191916,0.6772709625196024,-0.15293013201291475,True,1
cardio28,death90,54,-0.03153118967878177,3.97270824082234e-08,-0.04136772413318224,-0.02169465522438135,-0.30049077214961506,True,1
cns28,death90,54,-0.020963437145912422,0.00031175592755526533,-0.031852044026560215,-0.010074830265264527,0.03842942086948457,True,1
coag28,death90,54,-0.028565069001335597,1.9372615145677065e-06,-0.03926076271558008,-0.017869375287090948,-0.08973761103514684,True,1
hepatic28,death90,54,-0.023966635244380252,2.0158742875271243e-06,-0.03295926993013176,-0.014974000558627621,-0.25088360500523654,True,1
icufd,death90,54,-0.03659874840584887,7.335143129470219e-12,-0.0449534211781614,-0.02824407563353596,0.5288021830779321,True,1
orgfree28,death90,54,-0.017447223938881096,0.003819288202463383,-0.029007166698726976,-0.005887281179034979,0.13094289242069498,True,1
pulmon28,death90,54,-0.009493129457542493,0.23412830751103894,-0.02531782631380481,0.006331567398719927,-0.6820899278818429,False,1
renal28,death90,54,-0.02243387554634324,7.394247552651028e-05,-0.03288941741128154,-0.011978333681405344,-0.08105472987875256,True,1
vfd,death90,54,-0.038289194002412374,2.6405458891035238e-17,-0.04443122049121964,-0.03214716751360602,-1.067338241203374,True,1
