outcome,treatment,weight,iteration
alcohol_binary,alcohol_binary,0.0,1
alcohol_binary,cardio28,0.0,1
alcohol_binary,cns28,0.0,1
alcohol_binary,coag28,0.0,1
alcohol_binary,hepatic28,0.0,1
alcohol_binary,icufd,0.0,1
alcohol_binary,orgfree28,0.0,1
alcohol_binary,pulmon28,0.0,1
alcohol_binary,renal28,0.0,1
alcohol_binary,vfd,0.0,1
alcohol_binary,death90,0.0,1
cardio28,alcohol_binary,3.8114285714285723,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.0,1
cardio28,hepatic28,0.0,1
cardio28,icufd,0.5975131199470476,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.0,1
cardio28,death90,0.0,1
cns28,alcohol_binary,5.69142857142857,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.0,1
cns28,hepatic28,0.0,1
cns28,icufd,0.7762753534111863,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,alcohol_binary,2.4571428571428573,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.0,1
coag28,icufd,0.7081934660299751,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.0,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,alcohol_binary,6.6800000000000015,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.553553101491716,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.4615747658699182,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,alcohol_binary,-0.2628571428571428,1
icufd,cardio28,0.0,1
icufd,cns28,0.0,1
icufd,coag28,0.0,1
icufd,hepatic28,0.0,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.0,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,alcohol_binary,9.337142857142858,1
orgfree28,cardio28,0.5564022411323165,1
orgfree28,cns28,0.0,1
orgfree28,coag28,0.0,1
orgfree28,hepatic28,0.5697885145963284,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,0.0,1
orgfree28,renal28,0.0,1
orgfree28,vfd,-0.34863992377909153,1
orgfree28,death90,0.0,1
pulmon28,alcohol_binary,-1.5657142857142852,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.0,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,alcohol_binary,3.045714285714285,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.0,1
renal28,hepatic28,0.0,1
renal28,icufd,0.3961751217436529,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,alcohol_binary,0.6057142857142859,1
vfd,cardio28,0.0,1
vfd,cns28,0.0,1
vfd,coag28,0.0,1
vfd,hepatic28,0.0,1
vfd,icufd,0.9829086095220086,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,alcohol_binary,0.0,1
death90,cardio28,-0.26899548255836075,1
death90,cns28,0.09420240967495186,1
death90,coag28,-0.24046703573830888,1
death90,hepatic28,-0.06473374796804328,1
death90,icufd,0.06207923902316817,1
death90,orgfree28,-0.2837547089621523,1
death90,pulmon28,0.20089440374988168,1
death90,renal28,-0.054872245555105725,1
death90,vfd,-0.8491445995940403,1
death90,death90,0.0,1
