treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
alcohol_binary,cardio28,32,-1e-16,0.3836037919837644,-4.991679608645189,12.614536751502325,3.8114285714285723,False,1
icufd,cardio28,32,0.5958230958230946,0.0005971803305427961,0.27865328802001643,0.9129929036261742,0.5975131199470476,True,1
alcohol_binary,cns28,32,-1e-16,0.2513396700660039,-4.245872200102516,15.628729342959657,5.69142857142857,False,1
icufd,cns28,32,0.7730505625242464,5.056790721620191e-05,0.4389302866154152,1.1071708384330776,0.7762753534111863,True,1
alcohol_binary,coag28,32,-1e-16,0.5927472926305946,-6.824730709859296,11.739016424145007,2.4571428571428573,False,1
icufd,coag28,32,0.706280443122548,5.628234818485969e-05,0.3985413820275108,1.014019504217585,0.7081934660299751,True,1
alcohol_binary,hepatic28,32,-1e-16,0.1992886637561947,-3.713812268682873,17.073812268682868,6.6800000000000015,False,1
coag28,hepatic28,32,0.7447853881278532,5.6764880959543833e-05,0.42005881358724045,1.0695119626684664,0.553553101491716,True,1
renal28,hepatic28,32,0.6989570265642318,0.0002156410572986331,0.35964013723845545,1.0382739158900074,0.4615747658699182,True,1
alcohol_binary,icufd,32,-0.26285714285714334,0.9505584146258292,-8.848451393619179,8.322737107904896,-0.2628571428571428,False,1
alcohol_binary,orgfree28,32,-1e-16,0.05024324948008377,-0.010560480593019506,18.68484619487873,9.337142857142858,False,1
cardio28,orgfree28,32,0.6679988410083227,0.0003083849950190783,0.33342979856005633,1.0025678834565892,0.5564022411323165,True,1
hepatic28,orgfree28,32,0.6511534101577985,9.060995798507453e-06,0.40185854573545915,0.9004482745801379,0.5697885145963284,True,1
vfd,orgfree28,32,0.1779275306072048,0.3543275015549987,-0.20831923447686745,0.5641742956912763,-0.34863992377909153,False,1
alcohol_binary,pulmon28,32,-1.5657142857142867,0.7160309258514159,-10.273283906979565,7.141855335550992,-1.5657142857142852,False,1
alcohol_binary,renal28,32,-1e-16,0.5062149084387016,-6.199290365660567,12.290718937089135,3.045714285714285,False,1
icufd,renal28,32,0.3966334755808436,0.03960682403593789,0.020143408982812305,0.7731235421788745,0.3961751217436529,True,1
alcohol_binary,vfd,32,-1e-16,0.897134578068487,-8.88205075627244,10.093479327701006,0.6057142857142859,False,1
icufd,vfd,32,0.9846545109703,8.467366882154339e-12,0.7974068998709651,1.1719021220696348,0.9829086095220086,True,1
cardio28,death90,32,-0.02344959884900133,0.002524103386200403,-0.03797855045393586,-0.008920647244066885,-0.26899548255836075,True,1
cns28,death90,32,-0.019727933029668798,0.004030452321742391,-0.032663266096398344,-0.006792599962939334,0.09420240967495186,True,1
coag28,death90,32,-0.025844748858447453,0.00033395423274722543,-0.03888152975258799,-0.012807967964306973,-0.24046703573830888,True,1
hepatic28,death90,32,-0.018923298398369814,0.003666673367501965,-0.031185429344613283,-0.006661167452126429,-0.06473374796804328,True,1
icufd,death90,32,-0.03778180093969563,3.9389141861291885e-08,-0.048349353009564694,-0.027214248869826665,0.06207923902316817,True,1
orgfree28,death90,32,-0.010236019290345233,0.1644863078065642,-0.0249062926905134,0.004434254109822901,-0.2837547089621523,False,1
pulmon28,death90,32,-0.006821880085117027,0.422668719738419,-0.023960269381581918,0.01031650921134785,0.20089440374988168,False,1
renal28,death90,32,-0.01762707518748796,0.021526922820472867,-0.032470566122696234,-0.002783584252279748,-0.054872245555105725,True,1
vfd,death90,32,-0.03875736513424832,8.505874151227732e-13,-0.04546599752933899,-0.032048732739157655,-0.8491445995940403,True,1
