outcome,treatment,weight,iteration
drinks_per_week,drinks_per_week,0.0,1
drinks_per_week,cardio28,0.0,1
drinks_per_week,cns28,0.0,1
drinks_per_week,coag28,0.0,1
drinks_per_week,hepatic28,0.0,1
drinks_per_week,icufd,0.0,1
drinks_per_week,orgfree28,0.0,1
drinks_per_week,pulmon28,0.0,1
drinks_per_week,renal28,0.0,1
drinks_per_week,vfd,0.0,1
drinks_per_week,death90,0.0,1
cardio28,drinks_per_week,0.010386551378582791,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.31181398106702973,1
cardio28,hepatic28,0.1321599320062108,1
cardio28,icufd,0.27704790369519616,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.1789960672250345,1
cardio28,death90,0.0,1
cns28,drinks_per_week,-0.007527664519640438,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.3083178008607138,1
cns28,hepatic28,0.13973860579267727,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0839885963059387,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,drinks_per_week,0.014823383512622908,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.0,1
coag28,icufd,0.0,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.13137274205903962,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,drinks_per_week,-0.01785818954832405,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.7891367660612214,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.0,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,drinks_per_week,-0.022734719384304988,1
icufd,cardio28,0.0,1
icufd,cns28,0.343967417947958,1
icufd,coag28,0.4173576977934876,1
icufd,hepatic28,0.11264692885615729,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.0867240261845231,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,drinks_per_week,0.02104521433696051,1
orgfree28,cardio28,0.46020710324636693,1
orgfree28,cns28,0.0,1
orgfree28,coag28,-0.1802397703834011,1
orgfree28,hepatic28,0.2665043199296261,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,-0.06756579464724495,1
orgfree28,renal28,0.5835455263537491,1
orgfree28,vfd,-0.04495322818281633,1
orgfree28,death90,0.0,1
pulmon28,drinks_per_week,-0.038346420081947545,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.0,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,drinks_per_week,0.03889340324654557,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.4180040467402954,1
renal28,hepatic28,0.198402056908929,1
renal28,icufd,0.19852419503554564,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,drinks_per_week,-0.015790411995123658,1
vfd,cardio28,0.0,1
vfd,cns28,0.04517213388595765,1
vfd,coag28,0.054884262664505655,1
vfd,hepatic28,0.0,1
vfd,icufd,0.9256683908942666,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,drinks_per_week,0.0,1
death90,cardio28,-0.11179599419517833,1
death90,cns28,-0.005085121860923512,1
death90,coag28,-0.15968860255949352,1
death90,hepatic28,-0.07440811678472391,1
death90,icufd,0.016974712824288973,1
death90,orgfree28,0.09103728645130978,1
death90,pulmon28,0.008561000493562993,1
death90,renal28,-0.05747062554582146,1
death90,vfd,-0.15197685421453982,1
death90,death90,0.0,1
