treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
drinks_per_week,cardio28,1149,-1e-16,0.6104373984769229,-0.029604043618851092,0.05037714637601701,0.010386551378582791,False,1
coag28,cardio28,1149,0.7234024814864695,3.959472464529049e-153,0.6774889095328263,0.7693160534401109,0.31181398106702973,True,1
hepatic28,cardio28,1149,0.5855625582764494,2.5482491125729996e-108,0.5390392563823031,0.6320858601705949,0.1321599320062108,True,1
icufd,cardio28,1149,0.6895595967875412,1.1590778209430711e-175,0.6497420031681992,0.7293771904068757,0.27704790369519616,True,1
vfd,cardio28,1149,0.6257289914527551,2.3462305381494256e-164,0.5878860236469179,0.6635719592585936,0.1789960672250345,True,1
drinks_per_week,cns28,1149,-0.007527664519642485,0.751930492787946,-0.054241474041985205,0.039186145002704495,-0.007527664519640438,False,1
coag28,cns28,1149,0.4281597234500204,8.496486513721659e-33,0.3599175598621048,0.49640188703793603,0.3083178008607138,True,1
hepatic28,cns28,1149,0.3573787774829347,1.2043748288488594e-26,0.29339181547000137,0.4213657394958662,0.13973860579267727,True,1
pulmon28,cns28,1149,0.1434954538238511,0.00019911021890897277,0.0680594504656308,0.21893145718207688,0.0839885963059387,True,1
drinks_per_week,coag28,1149,-1e-16,0.43525183877274565,-0.02243942065096123,0.05208618767620754,0.014823383512622908,False,1
pulmon28,coag28,1149,0.12936273068840265,2.588259352825407e-05,0.06927657919806678,0.18944888217874062,0.13137274205903962,True,1
drinks_per_week,hepatic28,1149,-0.017858189548324077,0.3839441250147866,-0.05808660537010839,0.022370226273460737,-0.01785818954832405,False,1
coag28,hepatic28,1149,0.7880783432882179,9.251430409890122e-192,0.7453259784682272,0.8308307081082108,0.7891367660612214,True,1
drinks_per_week,icufd,1149,-0.022734719384301272,0.27753045350200967,-0.06379354978230758,0.018324111013697852,-0.022734719384304988,False,1
cns28,icufd,1149,0.49508875483599724,4.6509030188715647e-97,0.4529863755183151,0.5371911341536828,0.343967417947958,True,1
coag28,icufd,1149,0.6629228601006791,5.5161120472954474e-114,0.6119136919655844,0.7139320282357741,0.4173576977934876,True,1
hepatic28,icufd,1149,0.5277659959564351,1.575861915798039e-79,0.4771432632321701,0.5783887286806974,0.11264692885615729,True,1
pulmon28,icufd,1149,0.20749425268273392,7.783854567578212e-10,0.14184894705122675,0.27313955831423053,0.0867240261845231,True,1
drinks_per_week,orgfree28,1149,-1e-16,0.38056141684811895,-0.02602661516309808,0.06811704383701933,0.02104521433696051,False,1
cardio28,orgfree28,1149,0.767502132339558,5.485590843635323e-140,0.7157808520598159,0.8192234126193003,0.46020710324636693,True,1
coag28,orgfree28,1149,0.7365038561861854,1.4506315398760641e-105,0.677039859220367,0.7959678531520042,-0.1802397703834011,True,1
hepatic28,orgfree28,1149,0.7235932352025132,3.523857961645324e-122,0.6703204462017246,0.7768660242033029,0.2665043199296261,True,1
pulmon28,orgfree28,1149,0.04809697336518681,0.21729150422924323,-0.02834890274531726,0.12454284947568653,-0.06756579464724495,False,1
renal28,orgfree28,1149,0.778192954457732,4.1353525347394415e-220,0.7400674719664073,0.8163184369490561,0.5835455263537491,True,1
vfd,orgfree28,1149,0.5345718783166502,2.3201782931546084e-74,0.48121070260459614,0.587933054028705,-0.04495322818281633,True,1
drinks_per_week,pulmon28,1149,-0.038346420081945,0.03473832906636917,-0.07393780623466854,-0.0027550339292264636,-0.038346420081947545,True,1
drinks_per_week,renal28,1149,-1e-16,0.0984803507486939,-0.007254225302908882,0.08504103179600035,0.03889340324654557,False,1
coag28,renal28,1149,0.7074260643728394,2.911180679367232e-100,0.6484563867625388,0.7663957419831442,0.4180040467402954,True,1
hepatic28,renal28,1149,0.5842721866325693,1.0350776580648632e-76,0.5270146639817542,0.641529709283385,0.198402056908929,True,1
icufd,renal28,1149,0.5252828364662072,2.596314497083841e-63,0.467668706403195,0.5828969665292236,0.19852419503554564,True,1
drinks_per_week,vfd,1149,-0.015790411995125098,0.4835388799479512,-0.059995788625982954,0.02841496463573591,-0.015790411995123658,False,1
cns28,vfd,1149,0.5183639479053763,6.471081182960402e-91,0.47248742396129956,0.56424047184945,0.04517213388595765,True,1
coag28,vfd,1149,0.6880430955420811,2.9183243757855957e-104,0.6320608851900217,0.7440253058941405,0.054884262664505655,True,1
icufd,vfd,1149,0.984326296477482,0.0,0.9591039300254105,1.009548662929554,0.9256683908942666,True,1
cardio28,death90,1149,-0.03023154690318819,5.340437000765021e-171,-0.03201039221827717,-0.02845270158809929,-0.11179599419517833,True,1
cns28,death90,1149,-0.014249701582666197,3.459513921073664e-42,-0.016221032105117376,-0.012278371060214878,-0.005085121860923512,True,1
coag28,death90,1149,-0.03517371458579599,1.578068554005638e-217,-0.03691239072093558,-0.03343503845065579,-0.15968860255949352,True,1
hepatic28,death90,1149,-0.02779487096573996,2.2880969368131492e-138,-0.02968238028878483,-0.02590736164269529,-0.07440811678472391,True,1
icufd,death90,1149,-0.027996751019769617,5.5026125947736515e-149,-0.029806791243040462,-0.026186710796498723,0.016974712824288973,True,1
orgfree28,death90,1149,-0.018460861657371763,3.503020332514876e-75,-0.020291704707778146,-0.016630018606965755,0.09103728645130978,True,1
pulmon28,death90,1149,-0.00700840654953136,7.955964434710463e-07,-0.009778569787801523,-0.004238243311261342,0.008561000493562993,True,1
renal28,death90,1149,-0.01935140346151798,3.6557483029575114e-80,-0.021198794865575382,-0.017504012057460737,-0.05747062554582146,True,1
vfd,death90,1149,-0.02680629486124375,1.008646831065772e-161,-0.028445589206597646,-0.025167000515890024,-0.15197685421453982,True,1
