outcome,treatment,weight,iteration
drinks_per_week,drinks_per_week,0.0,1
drinks_per_week,cardio28,0.0,1
drinks_per_week,cns28,0.0,1
drinks_per_week,coag28,0.0,1
drinks_per_week,hepatic28,0.0,1
drinks_per_week,icufd,0.0,1
drinks_per_week,orgfree28,0.0,1
drinks_per_week,pulmon28,0.0,1
drinks_per_week,renal28,0.0,1
drinks_per_week,vfd,0.0,1
drinks_per_week,death90,0.0,1
cardio28,drinks_per_week,-0.02231799380781497,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.311259160401949,1
cardio28,hepatic28,0.21264963707642837,1
cardio28,icufd,0.3473874074808219,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.0,1
cardio28,death90,0.0,1
cns28,drinks_per_week,0.005741379489861377,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.23305059488507426,1
cns28,hepatic28,0.2813682787601334,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,drinks_per_week,0.02443018989677902,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.0,1
coag28,icufd,0.0,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.0,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,drinks_per_week,-0.04313851204241117,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.7948490750545032,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.0,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,drinks_per_week,-0.023582933849964894,1
icufd,cardio28,0.0,1
icufd,cns28,0.31607903340657506,1
icufd,coag28,0.3469524801262009,1
icufd,hepatic28,0.17658854691157827,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.10077701930627098,1
icufd,renal28,0.06836678694565211,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,drinks_per_week,-0.0337481269163341,1
orgfree28,cardio28,0.5867212290834448,1
orgfree28,cns28,0.0,1
orgfree28,coag28,-0.09976265542573876,1
orgfree28,hepatic28,0.0,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,-0.11701521310103331,1
orgfree28,renal28,0.6063913719347817,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,drinks_per_week,-0.05713489958206008,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.12807081353022146,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,drinks_per_week,0.024460083452791576,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.501055802825263,1
renal28,hepatic28,0.29653599308694173,1
renal28,icufd,0.0,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,drinks_per_week,-0.017162594078907138,1
vfd,cardio28,0.0,1
vfd,cns28,0.0,1
vfd,coag28,0.0,1
vfd,hepatic28,0.0,1
vfd,icufd,0.9871644771717846,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,drinks_per_week,0.0,1
death90,cardio28,-0.11205867250932837,1
death90,cns28,0.016476272016621153,1
death90,coag28,-0.2071241988952033,1
death90,hepatic28,-0.11964299230235635,1
death90,icufd,-0.052485774698940564,1
death90,orgfree28,0.11956813884454101,1
death90,pulmon28,-0.028801216442726752,1
death90,renal28,-0.052386130031812875,1
death90,vfd,-0.09483388233975974,1
death90,death90,0.0,1
