treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
drinks_per_week,cardio28,564,-0.022317993807813963,0.5489834985851727,-0.09542251127220411,0.05078652365657436,-0.02231799380781497,False,1
coag28,cardio28,564,0.7190885046664843,6.114213817937536e-71,0.6507023688792708,0.7874746404536979,0.311259160401949,True,1
hepatic28,cardio28,564,0.6608189286393893,2.6182197352451016e-63,0.5930460790833726,0.7285917781954053,0.21264963707642837,True,1
icufd,cardio28,564,0.643110412314515,8.59362354943134e-69,0.5806777962817086,0.7055430283473231,0.3473874074808219,True,1
drinks_per_week,cns28,564,-1e-16,0.8957506100556194,-0.0802845452828235,0.09176730426254623,0.005741379489861377,False,1
coag28,cns28,564,0.4564923790566088,3.84423542815796e-18,0.35672256264122226,0.5562621954719952,0.23305059488507426,True,1
hepatic28,cns28,564,0.45104688419405914,3.5572455437352604e-19,0.3556084655025578,0.5464853028855605,0.2813682787601334,True,1
drinks_per_week,coag28,564,-1e-16,0.47265622444973787,-0.04234186513612867,0.0912022449296869,0.02443018989677902,False,1
drinks_per_week,hepatic28,564,-0.04313851204241814,0.22296376097584245,-0.11258938080149124,0.02631235671666919,-0.04313851204241117,False,1
coag28,hepatic28,564,0.7924981130161086,8.174077362462414e-108,0.7365689602924786,0.8484272657397366,0.7948490750545032,True,1
drinks_per_week,icufd,564,-0.023582933849967347,0.5304376140701175,-0.09737526960573725,0.050209401905807555,-0.023582933849964894,False,1
cns28,icufd,564,0.4875008199277797,1.6119421824853924e-49,0.4289933695510484,0.5460082703045108,0.31607903340657506,True,1
coag28,icufd,564,0.6902287892766632,2.370557631706255e-62,0.6187311209086321,0.7617264576446943,0.3469524801262009,True,1
hepatic28,icufd,564,0.6326752686908804,1.543288379637138e-55,0.5620561988919324,0.7032943384898283,0.17658854691157827,True,1
pulmon28,icufd,564,0.1962664415074915,2.6314896891705804e-05,0.10531053296079275,0.28722235005418406,0.10077701930627098,True,1
renal28,icufd,564,0.4215027950835264,2.3423589891538307e-31,0.35470353136046767,0.4883020588065872,0.06836678694565211,True,1
drinks_per_week,orgfree28,564,-0.033748126916337995,0.4346953703441907,-0.11854319076950558,0.051046936936837414,-0.0337481269163341,False,1
cardio28,orgfree28,564,0.7983094212801894,2.5555796700026847e-80,0.7285585138502281,0.868060328710151,0.5867212290834448,True,1
coag28,orgfree28,564,0.7565405414546211,1.8446794564406125e-55,0.672020370314289,0.841060712594954,-0.09976265542573876,True,1
pulmon28,orgfree28,564,-0.02230079442885291,0.6801023289146024,-0.128480271521584,0.08387868266388283,-0.11701521310103331,False,1
renal28,orgfree28,564,0.7763654336542807,7.132438255268276e-100,0.7183344288303655,0.8343964384781959,0.6063913719347817,True,1
drinks_per_week,pulmon28,564,-0.05713489958205997,0.08973292129542251,-0.12315908134677102,0.008889282182650907,-0.05713489958206008,False,1
hepatic28,pulmon28,564,0.131231113936366,0.0010282681871228267,0.0531199128818345,0.20934231499089812,0.12807081353022146,True,1
drinks_per_week,renal28,564,-1e-16,0.5538889663711848,-0.05665502023115872,0.10557518713674206,0.024460083452791576,False,1
coag28,renal28,564,0.7369999736586488,5.1420067943378064e-58,0.6570056350581922,0.8169943122591036,0.501055802825263,True,1
hepatic28,renal28,564,0.6614155631123264,2.9123571594433266e-49,0.5817768345655424,0.7410542916591086,0.29653599308694173,True,1
drinks_per_week,vfd,564,-0.01716259407890952,0.670830059325318,-0.0964384620522035,0.06211327389438931,-0.017162594078907138,False,1
icufd,vfd,564,0.9869827217625822,3.5864630578996406e-229,0.9518725157649703,1.0220929277601936,0.9871644771717846,True,1
cardio28,death90,564,-0.027910858717162146,3.381217352580192e-73,-0.03050971593805613,-0.02531200149626762,-0.11205867250932837,True,1
cns28,death90,564,-0.0136919359992565,3.24501618018094e-21,-0.01642283505057778,-0.010961036947935033,0.016476272016621153,True,1
coag28,death90,564,-0.036338220358743456,8.103052331121788e-122,-0.038670019836562534,-0.034006420880923864,-0.2071241988952033,True,1
hepatic28,death90,564,-0.03201345679683387,4.198377886394772e-93,-0.034532642637576286,-0.02949427095609089,-0.11964299230235635,True,1
icufd,death90,564,-0.0283657797358553,2.193278295614819e-78,-0.030886301148481784,-0.025845258323228818,-0.052485774698940564,True,1
orgfree28,death90,564,-0.018635710578832065,1.630097049982395e-39,-0.021206094888258187,-0.016065326269405513,0.11956813884454101,True,1
pulmon28,death90,564,-0.007016103079382274,0.000312184413510193,-0.010815088789184153,-0.00321711736958015,-0.028801216442726752,True,1
renal28,death90,564,-0.020025122191566935,5.047358229089076e-42,-0.022685378931546357,-0.017364865451587257,-0.052386130031812875,True,1
vfd,death90,564,-0.026259727647230946,3.4007131584310996e-77,-0.02861779893995635,-0.023901656354504988,-0.09483388233975974,True,1
