outcome,treatment,weight,iteration
alcohol_binary,alcohol_binary,0.0,1
alcohol_binary,cardio28,0.0,1
alcohol_binary,cns28,0.0,1
alcohol_binary,coag28,0.0,1
alcohol_binary,hepatic28,0.0,1
alcohol_binary,icufd,0.0,1
alcohol_binary,orgfree28,0.0,1
alcohol_binary,pulmon28,0.0,1
alcohol_binary,renal28,0.0,1
alcohol_binary,vfd,0.0,1
alcohol_binary,death90,0.0,1
cardio28,alcohol_binary,-1.4877106741573032,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.3140767522837431,1
cardio28,hepatic28,0.22918078426047173,1
cardio28,icufd,0.34540310876408226,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.0,1
cardio28,death90,0.0,1
cns28,alcohol_binary,-1.4111657303370775,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.2815594911982621,1
cns28,hepatic28,0.20108418410196302,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,alcohol_binary,0.1443117977528098,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.0,1
coag28,icufd,0.0,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.0,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,alcohol_binary,-1.8449789325842707,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.8054750976143331,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.0,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,alcohol_binary,-1.836903089887642,1
icufd,cardio28,0.0,1
icufd,cns28,0.31773404427043667,1
icufd,coag28,0.36262393148319716,1
icufd,hepatic28,0.22331266650463608,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.0,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,alcohol_binary,-1.0779494382022476,1
orgfree28,cardio28,0.5991322109520035,1
orgfree28,cns28,0.0,1
orgfree28,coag28,-0.12837433505217635,1
orgfree28,hepatic28,0.0,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,-0.1287079797411455,1
orgfree28,renal28,0.5898771487259648,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,alcohol_binary,-2.191889044943821,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.12667096146400383,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,alcohol_binary,1.1731039325842711,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.4433562487616116,1
renal28,hepatic28,0.3392583484950584,1
renal28,icufd,0.0,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,alcohol_binary,-1.8198735955056178,1
vfd,cardio28,0.0,1
vfd,cns28,0.060358106020794465,1
vfd,coag28,0.0,1
vfd,hepatic28,0.06269347732185819,1
vfd,icufd,0.9144183312801166,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,alcohol_binary,0.0,1
death90,cardio28,-0.10477770544454662,1
death90,cns28,0.04156817191524226,1
death90,coag28,-0.22285626166151046,1
death90,hepatic28,-0.11333319856347643,1
death90,icufd,-0.0735426272910659,1
death90,orgfree28,0.10115238481232318,1
death90,pulmon28,-0.022357404567847607,1
death90,renal28,-0.04594711189209453,1
death90,vfd,-0.08412548538515464,1
death90,death90,0.0,1
