treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
alcohol_binary,cardio28,420,-1.4877106741573058,0.2735831116029487,-4.155186252095559,1.1797649037809514,-1.4877106741573032,False,1
coag28,cardio28,420,0.7339488418185822,6.788292676789662e-57,0.656567088596098,0.8113305950410671,0.3140767522837431,True,1
hepatic28,cardio28,420,0.6779190534621802,7.397106567154287e-52,0.6017895277321776,0.754048579192184,0.22918078426047173,True,1
icufd,cardio28,420,0.6691167495546129,2.410967662663139e-53,0.5953967750097373,0.74283672409948,0.34540310876408226,True,1
alcohol_binary,cns28,420,-1.4111657303370801,0.3530810192152608,-4.394891088791239,1.572559628117078,-1.4111657303370775,False,1
coag28,cns28,420,0.4455334081959373,9.573068202893466e-15,0.3365562399360952,0.5545105764557797,0.2815594911982621,True,1
hepatic28,cns28,420,0.4130494772540219,7.119646889560554e-14,0.3082670618356248,0.5178318926724187,0.20108418410196302,True,1
alcohol_binary,coag28,420,-1e-16,0.9079693593283652,-2.3080650978336283,2.596688693339244,0.1443117977528098,False,1
alcohol_binary,hepatic28,420,-1.8449789325842687,0.1567726479710129,-4.401511203534373,0.7115533383658286,-1.8449789325842707,False,1
coag28,hepatic28,420,0.8064015823544963,3.48696362654354e-84,0.7425071474582052,0.8702960172507888,0.8054750976143331,True,1
alcohol_binary,icufd,420,-1.8369030898876382,0.1687316440253758,-4.455876171223781,0.7820699914484994,-1.836903089887642,False,1
cns28,icufd,420,0.49678785372855394,7.80722742705712e-37,0.42708835650738064,0.5664873509497355,0.31773404427043667,True,1
coag28,icufd,420,0.6863905816395313,5.002825989841478e-50,0.6074301798574943,0.7653509834215687,0.36262393148319716,True,1
hepatic28,icufd,420,0.6281497222022993,9.626011858537451e-45,0.5503630504251998,0.7059363939793989,0.22331266650463608,True,1
alcohol_binary,orgfree28,420,-1.0779494382022463,0.48039313886356305,-4.077903889467234,1.9220050130627415,-1.0779494382022476,False,1
cardio28,orgfree28,420,0.7858002001714259,6.340791873977553e-63,0.7085727221379284,0.8630276782049234,0.5991322109520035,True,1
coag28,orgfree28,420,0.7229691731068546,7.455829851570552e-41,0.6280119368820677,0.8179264093316406,-0.12837433505217635,True,1
pulmon28,orgfree28,420,-0.02431049757387349,0.7050248743264593,-0.1504599419073938,0.10183894675964587,-0.1287079797411455,False,1
renal28,orgfree28,420,0.7560265324056955,7.635888261255552e-74,0.6898546251007242,0.8221984397106662,0.5898771487259648,True,1
alcohol_binary,pulmon28,420,-2.1918890449438213,0.05922678641691676,-4.469512966782101,0.08573487689445924,-2.191889044943821,False,1
hepatic28,pulmon28,420,0.13043491153265885,0.0026813501867991585,0.045542155540413715,0.21532766752490354,0.12667096146400383,True,1
alcohol_binary,renal28,420,-1e-16,0.4323285971878199,-1.760734829023666,4.106942694192207,1.1731039325842711,False,1
coag28,renal28,420,0.7164169076698848,3.7387306471942636e-42,0.6241990150409755,0.8086348002987891,0.4433562487616116,True,1
hepatic28,renal28,420,0.6614652454959193,1.0556258830256038e-38,0.5715291643030782,0.7514013266887671,0.3392583484950584,True,1
alcohol_binary,vfd,420,-1.819873595505614,0.20610373292915388,-4.64478689700728,1.0050397059960439,-1.8198735955056178,False,1
cns28,vfd,420,0.5320916296648921,2.8840471242800552e-36,0.4567038738813483,0.6074793854484372,0.060358106020794465,True,1
hepatic28,vfd,420,0.6620028825947727,2.540973762409468e-42,0.5770075083849782,0.7469982568045672,0.06269347732185819,True,1
icufd,vfd,420,0.9897809451374524,6.0832732030278145e-170,0.9486565927639348,1.0309052975109703,0.9144183312801166,True,1
cardio28,death90,420,-0.028293146300478744,4.372163412940516e-55,-0.031342967228061826,-0.025243325372895455,-0.10477770544454662,True,1
cns28,death90,420,-0.014046181924482593,4.94732073698589e-15,-0.017442540245830657,-0.010649823603134802,0.04156817191524226,True,1
coag28,death90,420,-0.03715453029719562,8.86629323227086e-96,-0.03981063415353353,-0.03449842644085721,-0.22285626166151046,True,1
hepatic28,death90,420,-0.03242817188745439,1.246376426950494e-71,-0.03533099308156279,-0.029525350693346455,-0.11333319856347643,True,1
icufd,death90,420,-0.02981369246423471,1.8230976376393678e-60,-0.032827026688955055,-0.0268003582395141,-0.0735426272910659,True,1
orgfree28,death90,420,-0.019963078862648864,1.7184208520125046e-31,-0.023052183831621307,-0.01687397389367643,0.10115238481232318,True,1
pulmon28,death90,420,-0.007598823673094335,0.0016533759609737746,-0.012315236715233461,-0.002882410630955198,-0.022357404567847607,True,1
renal28,death90,420,-0.020558397422815844,5.240974944340407e-32,-0.023707762672827887,-0.017409032172803842,-0.04594711189209453,True,1
vfd,death90,420,-0.02728638895488178,2.4408810967445448e-58,-0.0301138799191629,-0.02445889799060104,-0.08412548538515464,True,1
