outcome,treatment,weight,iteration
alcohol_binary,alcohol_binary,0.0,1
alcohol_binary,cardio28,0.0,1
alcohol_binary,cns28,0.0,1
alcohol_binary,coag28,0.0,1
alcohol_binary,hepatic28,0.0,1
alcohol_binary,icufd,0.0,1
alcohol_binary,orgfree28,0.0,1
alcohol_binary,pulmon28,0.0,1
alcohol_binary,renal28,0.0,1
alcohol_binary,vfd,0.0,1
alcohol_binary,death90,0.0,1
cardio28,alcohol_binary,1.3416162489196195,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.3142441349092435,1
cardio28,hepatic28,0.21235534199567238,1
cardio28,icufd,0.34603191024012625,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.0,1
cardio28,death90,0.0,1
cns28,alcohol_binary,1.6729688850475364,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.22133546881464639,1
cns28,hepatic28,0.28609175897251676,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,alcohol_binary,1.4688310285220385,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.0,1
coag28,icufd,0.0,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.0,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,alcohol_binary,0.6610306828003456,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.7926944363395266,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.0,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,alcohol_binary,1.2003565254969746,1
icufd,cardio28,0.0,1
icufd,cns28,0.3172154338962586,1
icufd,coag28,0.3789083072734027,1
icufd,hepatic28,0.19638656616195452,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.10222322703843761,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,alcohol_binary,1.8883967156439054,1
orgfree28,cardio28,0.5891418329470793,1
orgfree28,cns28,0.0,1
orgfree28,coag28,-0.1066113346400976,1
orgfree28,hepatic28,0.0,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,-0.11032638655497508,1
orgfree28,renal28,0.6071912721034397,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,alcohol_binary,-0.5897255834053585,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.13508155844800618,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,alcohol_binary,2.420700086430422,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.4970846545532176,1
renal28,hepatic28,0.29409307330273704,1
renal28,icufd,0.0,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,alcohol_binary,1.3748379429559199,1
vfd,cardio28,0.0,1
vfd,cns28,0.0,1
vfd,coag28,0.0,1
vfd,hepatic28,0.0,1
vfd,icufd,0.987459047008996,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,alcohol_binary,0.0,1
death90,cardio28,-0.10280364407533547,1
death90,cns28,0.012033928810413123,1
death90,coag28,-0.20505206283946525,1
death90,hepatic28,-0.118039419287992,1
death90,icufd,-0.06773259187820228,1
death90,orgfree28,0.11176915181788229,1
death90,pulmon28,-0.024769062424034472,1
death90,renal28,-0.04083772893364413,1
death90,vfd,-0.08641339402429817,1
death90,death90,0.0,1
