treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
alcohol_binary,cardio28,564,-1e-16,0.11068450736038078,-0.30781017816262435,2.991042676001859,1.3416162489196195,False,1
coag28,cardio28,564,0.7190885046664843,6.114213817937536e-71,0.6507023688792708,0.7874746404536979,0.3142441349092435,True,1
hepatic28,cardio28,564,0.6608189286393893,2.6182197352451016e-63,0.5930460790833726,0.7285917781954053,0.21235534199567238,True,1
icufd,cardio28,564,0.643110412314515,8.59362354943134e-69,0.5806777962817086,0.7055430283473231,0.34603191024012625,True,1
alcohol_binary,cns28,564,-1e-16,0.0908230890079027,-0.2668621250121992,3.61279989510727,1.6729688850475364,False,1
coag28,cns28,564,0.4564923790566088,3.84423542815796e-18,0.35672256264122226,0.5562621954719952,0.22133546881464639,True,1
hepatic28,cns28,564,0.45104688419405914,3.5572455437352604e-19,0.3556084655025578,0.5464853028855605,0.28609175897251676,True,1
alcohol_binary,coag28,564,-1e-16,0.05578914791337134,-0.03643500561941404,2.97409706266349,1.4688310285220385,False,1
alcohol_binary,hepatic28,564,-1e-16,0.408934906868594,-0.9101357036013489,2.232197069202038,0.6610306828003456,False,1
coag28,hepatic28,564,0.7924981130161086,8.174077362462414e-108,0.7365689602924786,0.8484272657397366,0.7926944363395266,True,1
alcohol_binary,icufd,564,-1e-16,0.15751390454125053,-0.46545031218260235,2.8661633631765513,1.2003565254969746,False,1
cns28,icufd,564,0.4875008199277797,1.6119421824853924e-49,0.4289933695510484,0.5460082703045108,0.3172154338962586,True,1
coag28,icufd,564,0.6902287892766632,2.370557631706255e-62,0.6187311209086321,0.7617264576446943,0.3789083072734027,True,1
hepatic28,icufd,564,0.6326752686908804,1.543288379637138e-55,0.5620561988919324,0.7032943384898283,0.19638656616195452,True,1
pulmon28,icufd,564,0.1962664415074915,2.6314896891705804e-05,0.10531053296079275,0.28722235005418406,0.10222322703843761,True,1
alcohol_binary,orgfree28,564,-1e-16,0.05283312829782913,-0.023174568576923127,3.7999679998647338,1.8883967156439054,False,1
cardio28,orgfree28,564,0.7983094212801894,2.5555796700026847e-80,0.7285585138502281,0.868060328710151,0.5891418329470793,True,1
coag28,orgfree28,564,0.7565405414546211,1.8446794564406125e-55,0.672020370314289,0.841060712594954,-0.1066113346400976,True,1
pulmon28,orgfree28,564,-0.02230079442885291,0.6801023289146024,-0.128480271521584,0.08387868266388283,-0.11032638655497508,False,1
renal28,orgfree28,564,0.7763654336542807,7.132438255268276e-100,0.7183344288303655,0.8343964384781959,0.6071912721034397,True,1
alcohol_binary,pulmon28,564,-0.5897255834053596,0.43896691626151907,-2.0853366591168494,0.9058854923061328,-0.5897255834053585,False,1
hepatic28,pulmon28,564,0.131231113936366,0.0010282681871228267,0.0531199128818345,0.20934231499089812,0.13508155844800618,True,1
alcohol_binary,renal28,564,-1e-16,0.009356163241234795,0.5973951831588082,4.244004989702034,2.420700086430422,True,1
coag28,renal28,564,0.7369999736586488,5.1420067943378064e-58,0.6570056350581922,0.8169943122591036,0.4970846545532176,True,1
hepatic28,renal28,564,0.6614155631123264,2.9123571594433266e-49,0.5817768345655424,0.7410542916591086,0.29409307330273704,True,1
alcohol_binary,vfd,564,-1e-16,0.13170033013180998,-0.4139790980275626,3.163654983939402,1.3748379429559199,False,1
icufd,vfd,564,0.9869827217625822,3.5864630578996406e-229,0.9518725157649703,1.0220929277601936,0.987459047008996,True,1
cardio28,death90,564,-0.027910858717162146,3.381217352580192e-73,-0.03050971593805613,-0.02531200149626762,-0.10280364407533547,True,1
cns28,death90,564,-0.0136919359992565,3.24501618018094e-21,-0.01642283505057778,-0.010961036947935033,0.012033928810413123,True,1
coag28,death90,564,-0.036338220358743456,8.103052331121788e-122,-0.038670019836562534,-0.034006420880923864,-0.20505206283946525,True,1
hepatic28,death90,564,-0.03201345679683387,4.198377886394772e-93,-0.034532642637576286,-0.02949427095609089,-0.118039419287992,True,1
icufd,death90,564,-0.0283657797358553,2.193278295614819e-78,-0.030886301148481784,-0.025845258323228818,-0.06773259187820228,True,1
orgfree28,death90,564,-0.018635710578832065,1.630097049982395e-39,-0.021206094888258187,-0.016065326269405513,0.11176915181788229,True,1
pulmon28,death90,564,-0.007016103079382274,0.000312184413510193,-0.010815088789184153,-0.00321711736958015,-0.024769062424034472,True,1
renal28,death90,564,-0.020025122191566935,5.047358229089076e-42,-0.022685378931546357,-0.017364865451587257,-0.04083772893364413,True,1
vfd,death90,564,-0.026259727647230946,3.4007131584310996e-77,-0.02861779893995635,-0.023901656354504988,-0.08641339402429817,True,1
