outcome,treatment,weight,iteration
alcohol_binary,alcohol_binary,0.0,1
alcohol_binary,cardio28,0.0,1
alcohol_binary,cns28,0.0,1
alcohol_binary,coag28,0.0,1
alcohol_binary,hepatic28,0.0,1
alcohol_binary,icufd,0.0,1
alcohol_binary,orgfree28,0.0,1
alcohol_binary,pulmon28,0.0,1
alcohol_binary,renal28,0.0,1
alcohol_binary,vfd,0.0,1
alcohol_binary,death90,0.0,1
cardio28,alcohol_binary,2.5990948813982513,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.27468469382522887,1
cardio28,hepatic28,0.23841866988166813,1
cardio28,icufd,0.21189365497220658,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.1391472589437792,1
cardio28,death90,0.0,1
cns28,alcohol_binary,3.0436953807740315,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.21596411883594108,1
cns28,hepatic28,0.2780224294642777,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,alcohol_binary,2.0575062421972525,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.7657504256871807,1
coag28,icufd,0.0,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.0,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,alcohol_binary,1.7748127340823958,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.0,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.0,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,alcohol_binary,2.550249687890137,1
icufd,cardio28,0.0,1
icufd,cns28,0.32954610967901343,1
icufd,coag28,0.41122277459747947,1
icufd,hepatic28,0.1414595877355779,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.09901071936389778,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,alcohol_binary,3.2067727840199742,1
orgfree28,cardio28,0.5209505842855899,1
orgfree28,cns28,0.0,1
orgfree28,coag28,0.0,1
orgfree28,hepatic28,0.0,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,-0.11205576984295307,1
orgfree28,renal28,0.5893191789617352,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,alcohol_binary,0.12234706616729113,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.15063068684582542,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,alcohol_binary,2.975187265917602,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.44201595338127214,1
renal28,hepatic28,0.35421806899885805,1
renal28,icufd,0.0,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,alcohol_binary,2.794709737827716,1
vfd,cardio28,0.0,1
vfd,cns28,0.0,1
vfd,coag28,0.0,1
vfd,hepatic28,0.0,1
vfd,icufd,0.9821704877484644,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,alcohol_binary,0.0,1
death90,cardio28,-0.13364728437365012,1
death90,cns28,0.021276724506844473,1
death90,coag28,-0.23468766842130867,1
death90,hepatic28,-0.10498339614596741,1
death90,icufd,-0.06516426955258087,1
death90,orgfree28,0.1515507401536192,1
death90,pulmon28,-0.022284767593625115,1
death90,renal28,-0.0817509313363567,1
death90,vfd,-0.08201284530340593,1
death90,death90,0.0,1
