treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
alcohol_binary,cardio28,500,-1e-16,0.0061350690757419595,0.7436735737733564,4.454516189023161,2.5990948813982513,True,1
coag28,cardio28,500,0.7027158786915741,2.5538235767191828e-61,0.63035056550417,0.7750811918789803,0.27468469382522887,True,1
hepatic28,cardio28,500,0.6746412915874096,9.001344280687567e-56,0.6006622707204305,0.7486203124543858,0.23841866988166813,True,1
icufd,cardio28,500,0.6337762797421949,5.533593644679895e-59,0.5667984894665983,0.7007540700177941,0.21189365497220658,True,1
vfd,cardio28,500,0.5752916287323604,3.481596623541594e-55,0.5117677885866025,0.638815468878118,0.1391472589437792,True,1
alcohol_binary,cns28,500,-1e-16,0.006597225813129366,0.8515822850246897,5.235808476523383,3.0436953807740315,True,1
coag28,cns28,500,0.44451221622282366,1.1184771195253391e-15,0.3390714766209198,0.5499529558247274,0.21596411883594108,True,1
hepatic28,cns28,500,0.4573098707761514,1.1198700972574224e-16,0.35271750136878743,0.5619022401835148,0.2780224294642777,True,1
alcohol_binary,coag28,500,-1e-16,0.019097972744952615,0.33824246079341713,3.776770023601105,2.0575062421972525,True,1
hepatic28,coag28,500,0.7713248689896934,6.422655493351836e-101,0.7157785111654237,0.8268712268139607,0.7657504256871807,True,1
alcohol_binary,hepatic28,500,-1e-16,0.044109176782912055,0.04698840025951512,3.502637067905294,1.7748127340823958,True,1
alcohol_binary,icufd,500,-1e-16,0.007769273415467354,0.6755832393178429,4.424916136462441,2.550249687890137,True,1
cns28,icufd,500,0.4923844875197858,1.618878747188679e-45,0.430851292015751,0.5539176830238202,0.32954610967901343,True,1
coag28,icufd,500,0.6806505658999713,3.846713708103575e-55,0.6054543400072249,0.7558467917927175,0.41122277459747947,True,1
hepatic28,icufd,500,0.6303604305666476,3.9018677609670645e-46,0.5522535862484543,0.70846727488484,0.1414595877355779,True,1
pulmon28,icufd,500,0.18825734940468664,9.341972462750169e-05,0.09436126204091806,0.28215343676845606,0.09901071936389778,True,1
alcohol_binary,orgfree28,500,-1e-16,0.0036823163078229066,1.047584641771135,5.365960926268825,3.2067727840199742,True,1
cardio28,orgfree28,500,0.7849484509321228,1.8146053103828397e-67,0.709180381612769,0.8607165202514765,0.5209505842855899,True,1
pulmon28,orgfree28,500,-0.02673371885956044,0.6330396006161023,-0.13667628621265804,0.08320884849353116,-0.11205576984295307,False,1
renal28,orgfree28,500,0.7835132755022083,5.7066597357832475e-92,0.72293760461218,0.8440889463922361,0.5893191789617352,True,1
alcohol_binary,pulmon28,500,-1e-16,0.8903887771868365,-1.621017977526648,1.8657121098612317,0.12234706616729113,False,1
hepatic28,pulmon28,500,0.14869564413585423,0.0009044197789452508,0.061194998715043525,0.23619628955666544,0.15063068684582542,True,1
alcohol_binary,renal28,500,-1e-16,0.004972758034786712,0.9033404115692609,5.047034120265959,2.975187265917602,True,1
coag28,renal28,500,0.7247753227259937,3.2719447047016986e-50,0.6396915783851302,0.8098590670668571,0.44201595338127214,True,1
hepatic28,renal28,500,0.701703425378482,7.632796222631147e-47,0.6155929361925198,0.7878139145644442,0.35421806899885805,True,1
alcohol_binary,vfd,500,-1e-16,0.00654673172691899,0.7838156420719966,4.805603833583444,2.794709737827716,True,1
icufd,vfd,500,0.9828199841158912,1.280050971944576e-199,0.9449115660946243,1.0207284021371583,0.9821704877484644,True,1
cardio28,death90,500,-0.027308675731919085,1.3971044221808907e-63,-0.03005323658513339,-0.024564114878704357,-0.13364728437365012,True,1
cns28,death90,500,-0.013167730763297192,3.574651861050086e-18,-0.016030639423643533,-0.01030482210295111,0.021276724506844473,True,1
coag28,death90,500,-0.03617147779960472,4.756690690888766e-116,-0.038501026685229374,-0.03384192891397985,-0.23468766842130867,True,1
hepatic28,death90,500,-0.031782282752376045,2.1557856976554205e-78,-0.034544446512613555,-0.02902011899213835,-0.10498339614596741,True,1
icufd,death90,500,-0.02761284851680723,3.326826816652297e-67,-0.03028535776246062,-0.02494033927115407,-0.06516426955258087,True,1
orgfree28,death90,500,-0.017559579764984623,4.682824693302296e-32,-0.020284014384081384,-0.014835145145887659,0.1515507401536192,True,1
pulmon28,death90,500,-0.0067377544082102,0.0006704660076901599,-0.010605140583999691,-0.002870368232420455,-0.022284767593625115,True,1
renal28,death90,500,-0.019938563097640194,9.162857908225211e-39,-0.022693105318063463,-0.01718402087721712,-0.0817509313363567,True,1
vfd,death90,500,-0.025456339025272334,2.7055055428389954e-65,-0.027969071462454243,-0.022943606588090307,-0.08201284530340593,True,1
