outcome,treatment,weight,iteration
drinks_per_week,drinks_per_week,0.0,1
drinks_per_week,cardio28,0.0,1
drinks_per_week,cns28,0.0,1
drinks_per_week,coag28,0.0,1
drinks_per_week,hepatic28,0.0,1
drinks_per_week,icufd,0.0,1
drinks_per_week,orgfree28,0.0,1
drinks_per_week,pulmon28,0.0,1
drinks_per_week,renal28,0.0,1
drinks_per_week,vfd,0.0,1
drinks_per_week,death90,0.0,1
cardio28,drinks_per_week,0.02444007558141212,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.3903599135057797,1
cardio28,hepatic28,0.0,1
cardio28,icufd,0.5281381564248286,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.0,1
cardio28,death90,0.0,1
cns28,drinks_per_week,-0.013243691570197877,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.40422178625313543,1
cns28,hepatic28,0.0,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,drinks_per_week,0.015885762960664747,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.0,1
coag28,icufd,0.0,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.16498930098804684,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,drinks_per_week,0.007548873000204088,1
hepatic28,cardio28,0.14815033642993491,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.6732503158476172,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.0,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,drinks_per_week,-0.01795528070780715,1
icufd,cardio28,0.0,1
icufd,cns28,0.3697952526202112,1
icufd,coag28,0.4897266028793931,1
icufd,hepatic28,0.0,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.0,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,drinks_per_week,0.05788181280844798,1
orgfree28,cardio28,0.3042106034710861,1
orgfree28,cns28,0.0,1
orgfree28,coag28,-0.2000625499304602,1
orgfree28,hepatic28,0.37897937837388246,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,0.0,1
orgfree28,renal28,0.5880630131067599,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,drinks_per_week,-0.029354521208315984,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.0,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,drinks_per_week,0.0638341432349988,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.3860001827694299,1
renal28,hepatic28,0.1516237221806615,1
renal28,icufd,0.26620091538283774,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,drinks_per_week,-0.010316780639542665,1
vfd,cardio28,0.15276304583122077,1
vfd,cns28,0.0,1
vfd,coag28,0.0,1
vfd,hepatic28,0.0,1
vfd,icufd,0.8699900499720545,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,drinks_per_week,0.0,1
death90,cardio28,-0.117894903172618,1
death90,cns28,-0.021399323268930445,1
death90,coag28,-0.1495929358165956,1
death90,hepatic28,-0.060372065654679785,1
death90,icufd,0.057121085080166875,1
death90,orgfree28,0.08518292023592268,1
death90,pulmon28,0.0353704514797607,1
death90,renal28,-0.05499423716326119,1
death90,vfd,-0.1844955826334286,1
death90,death90,0.0,1
