treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
drinks_per_week,cardio28,585,-1e-16,0.32794420712941186,-0.02458665012907183,0.0734668012918959,0.02444007558141212,False,1
coag28,cardio28,585,0.7285734827114636,2.708316701792155e-84,0.6666148040672217,0.7905321613557046,0.3903599135057797,True,1
icufd,cardio28,585,0.7328573780297791,3.095435121437142e-113,0.6825822744820167,0.7831324815775533,0.5281381564248286,True,1
drinks_per_week,cns28,585,-0.013243691570195892,0.6477776302543673,-0.07014985395487729,0.04366247081448148,-0.013243691570197877,False,1
coag28,cns28,585,0.4032679468740419,2.5969536974038805e-16,0.3093791114935677,0.49715678225451493,0.40422178625313543,True,1
drinks_per_week,coag28,585,-1e-16,0.502807699969912,-0.03064745210385475,0.06241897802518416,0.015885762960664747,False,1
pulmon28,coag28,585,0.16282113612286864,0.000253594590409128,0.07595297272980005,0.24968929951592833,0.16498930098804684,True,1
drinks_per_week,hepatic28,585,-1e-16,0.7737493689106695,-0.04400157815796772,0.05909932415837588,0.007548873000204088,False,1
cardio28,hepatic28,585,0.5891966435557787,9.354935434807475e-50,0.5184339119970091,0.6599593751145528,0.14815033642993491,True,1
coag28,hepatic28,585,0.7808604927547091,4.375539825246903e-89,0.7169795244330686,0.8447414610763484,0.6732503158476172,True,1
drinks_per_week,icufd,585,-0.01795528070780783,0.49090823958760366,-0.06911569468465385,0.03320513326903948,-0.01795528070780715,False,1
cns28,icufd,585,0.5024684160278685,2.4288372310418564e-49,0.4418069501194061,0.5631298819363307,0.3697952526202112,True,1
coag28,icufd,585,0.6378424672510856,6.436085924722648e-54,0.5649979549717601,0.7106869795304114,0.4897266028793931,True,1
drinks_per_week,orgfree28,585,-1e-16,0.05140243392534461,-0.00035352020120181515,0.11611714581809766,0.05788181280844798,False,1
cardio28,orgfree28,585,0.7386280160158888,1.6774052929153708e-63,0.662658677360656,0.8145973546711214,0.3042106034710861,True,1
coag28,orgfree28,585,0.7163653436488817,7.181119331182505e-52,0.6325376846330616,0.8001930026647018,-0.2000625499304602,True,1
hepatic28,orgfree28,585,0.7185233144659775,4.24731433311582e-67,0.6472360657565381,0.7898105631754166,0.37897937837388246,True,1
renal28,orgfree28,585,0.7808443432843395,2.448558803591544e-121,0.7300684278269779,0.8316202587417006,0.5880630131067599,True,1
drinks_per_week,pulmon28,585,-0.029354521208317053,0.18077510964756743,-0.07238028181140566,0.013671239394773691,-0.029354521208315984,False,1
drinks_per_week,renal28,585,-1e-16,0.03167209133974331,0.005621648842502436,0.12204663762749496,0.0638341432349988,True,1
coag28,renal28,585,0.6771665292325371,1.8297845268939072e-45,0.5911722196012937,0.7631608388637804,0.3860001827694299,True,1
hepatic28,renal28,585,0.5174686491082499,1.8927352639712886e-31,0.4354234510580327,0.5995138471584688,0.1516237221806615,True,1
icufd,renal28,585,0.5358327899031643,2.2852671102698374e-33,0.45380979805465443,0.6178557817516696,0.26620091538283774,True,1
drinks_per_week,vfd,585,-0.01031678063954189,0.7136285808308758,-0.06550324916579375,0.04486968788670823,-0.010316780639542665,False,1
cardio28,vfd,585,0.8465759915839488,6.99527061661282e-108,0.7863284152718981,0.9068235678960006,0.15276304583122077,True,1
icufd,vfd,585,0.9818723445192542,9.144664459840603e-226,0.9456015008146922,1.018143188223817,0.8699900499720545,True,1
cardio28,death90,585,-0.032487496088985046,2.629749092557035e-101,-0.034910121735875765,-0.03006487044209469,-0.117894903172618,True,1
cns28,death90,585,-0.014794699090972974,1.284659744786699e-22,-0.01764139894312785,-0.011947999238818247,-0.021399323268930445,True,1
coag28,death90,585,-0.03409655047914195,5.05168011032117e-100,-0.036663066113852755,-0.03153003484443109,-0.1495929358165956,True,1
hepatic28,death90,585,-0.02455956772121226,4.072191136449661e-55,-0.027325684114082965,-0.021793451328341474,-0.060372065654679785,True,1
icufd,death90,585,-0.02762443779143675,1.2803924887984862e-72,-0.030225093338546737,-0.025023782244326272,0.057121085080166875,True,1
orgfree28,death90,585,-0.018262512819492205,3.2097960537302023e-37,-0.020881322391704954,-0.015643703247279678,0.08518292023592268,True,1
pulmon28,death90,585,-0.006951889822789992,0.0007806980104090838,-0.010994663929793438,-0.002909115715786492,0.0353704514797607,True,1
renal28,death90,585,-0.018806310760486333,9.548480448190924e-40,-0.021398437928259642,-0.016214183592713698,-0.05499423716326119,True,1
vfd,death90,585,-0.027259668115037217,8.04504849594923e-86,-0.029549018768761332,-0.024970317461312796,-0.1844955826334286,True,1
