outcome,treatment,weight,iteration
alcohol_binary,alcohol_binary,0.0,1
alcohol_binary,cardio28,0.0,1
alcohol_binary,cns28,0.0,1
alcohol_binary,coag28,0.0,1
alcohol_binary,hepatic28,0.0,1
alcohol_binary,icufd,0.0,1
alcohol_binary,orgfree28,0.0,1
alcohol_binary,pulmon28,0.0,1
alcohol_binary,renal28,0.0,1
alcohol_binary,vfd,0.0,1
alcohol_binary,death90,0.0,1
cardio28,alcohol_binary,0.8313625016423599,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.5488561841059063,1
cardio28,hepatic28,0.17996674848476601,1
cardio28,icufd,0.0,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.13250420619368367,1
cardio28,renal28,0.0,1
cardio28,vfd,0.0,1
cardio28,death90,0.0,1
cns28,alcohol_binary,-0.20312705294967637,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.0,1
cns28,hepatic28,0.0,1
cns28,icufd,0.6519869532219625,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,alcohol_binary,1.235645775850743,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.0,1
coag28,icufd,0.0,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.1649332747356297,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,alcohol_binary,1.0386939955327819,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.7733584021659698,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.0,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,alcohol_binary,-0.7690842202075936,1
icufd,cardio28,0.6591828343806136,1
icufd,cns28,0.0,1
icufd,coag28,0.14838342408118407,1
icufd,hepatic28,0.0,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.09756076541490964,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,alcohol_binary,2.7502299303639473,1
orgfree28,cardio28,0.2476102947151543,1
orgfree28,cns28,0.0,1
orgfree28,coag28,0.0,1
orgfree28,hepatic28,0.28652928777229497,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,0.0,1
orgfree28,renal28,0.5568119217977696,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,alcohol_binary,-1.2043095519642617,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.0,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,alcohol_binary,2.3205886217317047,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.38522151810520666,1
renal28,hepatic28,0.14187533927962317,1
renal28,icufd,0.0,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.2567982901771497,1
renal28,death90,0.0,1
vfd,alcohol_binary,-0.30935488109315473,1
vfd,cardio28,0.14384142746101283,1
vfd,cns28,0.05858279556259984,1
vfd,coag28,0.0,1
vfd,hepatic28,0.0,1
vfd,icufd,0.8486535050099844,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,alcohol_binary,0.0,1
death90,cardio28,-0.12192367560731475,1
death90,cns28,-0.01145855304306553,1
death90,coag28,-0.14742632793149799,1
death90,hepatic28,-0.08119552736522795,1
death90,icufd,0.06099601156743169,1
death90,orgfree28,0.12042510327052089,1
death90,pulmon28,-0.01832270936726357,1
death90,renal28,-0.0592608815138813,1
death90,vfd,-0.18371569403472535,1
death90,death90,0.0,1
