treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
alcohol_binary,cardio28,376,-1e-16,0.4467486552638439,-1.3149378920523611,2.9776628953370734,0.8313625016423599,False,1
coag28,cardio28,376,0.7047570228610036,8.065633187969759e-51,0.6258902124391457,0.7836238332828631,0.5488561841059063,True,1
hepatic28,cardio28,376,0.5327834262880176,8.134547861072673e-33,0.4532504376131637,0.6123164149628626,0.17996674848476601,True,1
pulmon28,cardio28,376,0.22785714517421596,0.0001516462618328773,0.11080138189554124,0.3449129084528852,0.13250420619368367,True,1
alcohol_binary,cns28,376,-0.20312705294968048,0.8704993861205008,-2.651476839237711,2.24522273333835,-0.20312705294967637,False,1
icufd,cns28,376,0.652480174922901,1.0069346926201378e-36,0.5618379748861577,0.7431223749596456,0.6519869532219625,True,1
alcohol_binary,coag28,376,-1e-16,0.2357036028211948,-0.810051581425594,3.2813431331270686,1.235645775850743,False,1
pulmon28,coag28,376,0.15676142095753676,0.0065513330595569136,0.04402329769111121,0.26949954422395606,0.1649332747356297,True,1
alcohol_binary,hepatic28,376,-1e-16,0.36822449571061444,-1.2284012702631875,3.30578926132874,1.0386939955327819,False,1
coag28,hepatic28,376,0.775983225600652,8.200953822132704e-57,0.6956617702271934,0.8563046809741102,0.7733584021659698,True,1
alcohol_binary,icufd,376,-0.7690842202075938,0.4951757737465974,-2.983994572542752,1.4458261321275605,-0.7690842202075936,False,1
cardio28,icufd,376,0.7699161367328297,4.55327342007274e-68,0.7000725228062579,0.8397597506594017,0.6591828343806136,True,1
coag28,icufd,376,0.6261659094350258,4.789779105758858e-35,0.5365266745014136,0.7158051443686381,0.14838342408118407,True,1
pulmon28,icufd,376,0.27087611225188546,1.1935743776660387e-05,0.1508739538757919,0.3908782706279719,0.09756076541490964,True,1
alcohol_binary,orgfree28,376,-1e-16,0.03115005832568315,0.2504279244194918,5.250031936308394,2.7502299303639473,True,1
cardio28,orgfree28,376,0.7370178568707964,7.175313318205486e-43,0.6444876468586076,0.8295480668829851,0.2476102947151543,True,1
hepatic28,orgfree28,376,0.7024236999524607,1.2582129012769443e-43,0.6152558149904168,0.7895915849145054,0.28652928777229497,True,1
renal28,orgfree28,376,0.7804686958152339,1.16774199681514e-78,0.717134209700355,0.843803181930113,0.5568119217977696,True,1
alcohol_binary,pulmon28,376,-1.2043095519642608,0.1955152980991162,-3.0304589546322758,0.6218398507037508,-1.2043095519642617,False,1
alcohol_binary,renal28,376,-1e-16,0.06964261026020578,-0.18733589541985785,4.828513138883254,2.3205886217317047,False,1
coag28,renal28,376,0.664783389283297,5.8988420419402816e-30,0.5596761807629441,0.7698905978036515,0.38522151810520666,True,1
hepatic28,renal28,376,0.504456636228376,1.449442738713829e-20,0.40393462870552477,0.6049786437512241,0.14187533927962317,True,1
vfd,renal28,376,0.4928972292354814,8.256046879443757e-22,0.39812391718295204,0.5876705412880059,0.2567982901771497,True,1
alcohol_binary,vfd,376,-0.309354881093153,0.79913945488224,-2.6981695601748497,2.0794597979885356,-0.30935488109315473,False,1
cardio28,vfd,376,0.824829747844943,7.933162553618434e-67,0.7489664722211118,0.9006930234687736,0.14384142746101283,True,1
cns28,vfd,376,0.5664183507557805,2.977634248791047e-35,0.48563675648759214,0.647199945023964,0.05858279556259984,True,1
icufd,vfd,376,0.9879231687050173,6.962942080983367e-151,0.9440776163282478,1.0317687210817867,0.8486535050099844,True,1
cardio28,death90,376,-0.0319563333683921,2.3932791205575576e-60,-0.035124100266328194,-0.02878856647045578,-0.12192367560731475,True,1
cns28,death90,376,-0.015125760627026863,7.859796476398965e-15,-0.0187976582602064,-0.011453862993847114,-0.01145855304306553,True,1
coag28,death90,376,-0.03316408627485279,1.0598608144034579e-58,-0.0365176911525758,-0.029810481397129836,-0.14742632793149799,True,1
hepatic28,death90,376,-0.02468951616385595,7.881853623724815e-36,-0.028174191172674758,-0.021204841155037492,-0.08119552736522795,True,1
icufd,death90,376,-0.027943598868072517,8.593352510657416e-46,-0.031300612445723984,-0.02458658529042151,0.06099601156743169,True,1
orgfree28,death90,376,-0.01853331535767827,1.0268942047517357e-23,-0.021919260059302028,-0.015147370656054596,0.12042510327052089,True,1
pulmon28,death90,376,-0.007892406356744597,0.0034021450412336654,-0.013157176525791462,-0.002627636187697649,-0.01832270936726357,True,1
renal28,death90,376,-0.018796681848033958,1.6098711606313098e-24,-0.022161206668851234,-0.015432157027216583,-0.0592608815138813,True,1
vfd,death90,376,-0.02752558314152853,1.3614576434887821e-53,-0.030494324934289774,-0.02455684134876735,-0.18371569403472535,True,1
