outcome,treatment,weight,iteration
alcohol_binary,alcohol_binary,0.0,1
alcohol_binary,cardio28,0.0,1
alcohol_binary,cns28,0.0,1
alcohol_binary,coag28,0.0,1
alcohol_binary,hepatic28,0.0,1
alcohol_binary,icufd,0.0,1
alcohol_binary,orgfree28,0.0,1
alcohol_binary,pulmon28,0.0,1
alcohol_binary,renal28,0.0,1
alcohol_binary,vfd,0.0,1
alcohol_binary,death90,0.0,1
cardio28,alcohol_binary,1.269682099423938,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.71721218159906,1
cardio28,hepatic28,0.0,1
cardio28,icufd,0.0,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.09037452863831215,1
cardio28,renal28,0.0,1
cardio28,vfd,0.0,1
cardio28,death90,0.0,1
cns28,alcohol_binary,0.291871132920845,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.0,1
cns28,hepatic28,0.0,1
cns28,icufd,0.6193048361637491,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,alcohol_binary,1.5550103122110797,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.0,1
coag28,icufd,0.0,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.16711348953287705,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,alcohol_binary,1.1202261574567955,1
hepatic28,cardio28,0.14669279350639286,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.6726690468708081,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.0,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,alcohol_binary,0.3456724272811318,1
icufd,cardio28,0.795937354907136,1
icufd,cns28,0.0,1
icufd,coag28,0.0,1
icufd,hepatic28,0.0,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.0,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,alcohol_binary,2.522971339165066,1
orgfree28,cardio28,0.3009578853137487,1
orgfree28,cns28,0.0,1
orgfree28,coag28,-0.20300911648863001,1
orgfree28,hepatic28,0.3799953131987771,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,0.0,1
orgfree28,renal28,0.5861283139330494,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,alcohol_binary,-0.6744541639997145,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.0,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,alcohol_binary,2.1194794111371875,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.38883708118497956,1
renal28,hepatic28,0.14876287658383397,1
renal28,icufd,0.26366769611098934,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,alcohol_binary,0.8228433255102764,1
vfd,cardio28,0.1534951812744503,1
vfd,cns28,0.0,1
vfd,coag28,0.0,1
vfd,hepatic28,0.0,1
vfd,icufd,0.8715085183703949,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,alcohol_binary,0.0,1
death90,cardio28,-0.11016122860532615,1
death90,cns28,-0.02348143654783143,1
death90,coag28,-0.15049107246984417,1
death90,hepatic28,-0.059221574773114814,1
death90,icufd,0.05643056694813948,1
death90,orgfree28,0.07054614492979316,1
death90,pulmon28,0.03349738232680636,1
death90,renal28,-0.04996326975688915,1
death90,vfd,-0.19130885517402643,1
death90,death90,0.0,1
