treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
alcohol_binary,cardio28,585,-1e-16,0.11384081169812305,-0.3050863523438241,2.8444505511917026,1.269682099423938,False,1
coag28,cardio28,585,0.7285734827114636,2.708316701792155e-84,0.6666148040672217,0.7905321613557046,0.71721218159906,True,1
pulmon28,cardio28,585,0.2060536322005504,1.0630697442946406e-05,0.11496174511199135,0.2971455192891097,0.09037452863831215,True,1
alcohol_binary,cns28,585,-1e-16,0.7542624187396143,-1.5385862787184341,2.1223285445601245,0.291871132920845,False,1
icufd,cns28,585,0.6213854465213202,2.4288372310427573e-49,0.5463674933967255,0.6964033996459138,0.6193048361637491,True,1
alcohol_binary,coag28,585,-1e-16,0.041091037102342375,0.06312945741001386,3.046891167012148,1.5550103122110797,True,1
pulmon28,coag28,585,0.16282113612286864,0.000253594590409128,0.07595297272980005,0.24968929951592833,0.16711348953287705,True,1
alcohol_binary,hepatic28,585,-1e-16,0.18440235672078256,-0.5354125224932378,2.7758648374068304,1.1202261574567955,False,1
cardio28,hepatic28,585,0.5891966435557787,9.354935434807475e-50,0.5184339119970091,0.6599593751145528,0.14669279350639286,True,1
coag28,hepatic28,585,0.7808604927547091,4.375539825246903e-89,0.7169795244330686,0.8447414610763484,0.6726690468708081,True,1
alcohol_binary,icufd,585,-1e-16,0.6801352102061013,-1.3002396711922517,1.9915845257545184,0.3456724272811318,False,1
cardio28,icufd,585,0.7973740086427752,3.095435121436085e-113,0.7426729685050785,0.8520750487804726,0.795937354907136,True,1
alcohol_binary,orgfree28,585,-1e-16,0.008199672936116979,0.6550660234056112,4.390876654924523,2.522971339165066,True,1
cardio28,orgfree28,585,0.7386280160158888,1.6774052929153708e-63,0.662658677360656,0.8145973546711214,0.3009578853137487,True,1
coag28,orgfree28,585,0.7163653436488817,7.181119331182505e-52,0.6325376846330616,0.8001930026647018,-0.20300911648863001,True,1
hepatic28,orgfree28,585,0.7185233144659775,4.24731433311582e-67,0.6472360657565381,0.7898105631754166,0.3799953131987771,True,1
renal28,orgfree28,585,0.7808443432843395,2.448558803591544e-121,0.7300684278269779,0.8316202587417006,0.5861283139330494,True,1
alcohol_binary,pulmon28,585,-0.674454163999715,0.3392125309071008,-2.0593428004440693,0.7104344724446392,-0.6744541639997145,False,1
alcohol_binary,renal28,585,-1e-16,0.02653650764494708,0.2476695694997746,3.9912892527746022,2.1194794111371875,True,1
coag28,renal28,585,0.6771665292325371,1.8297845268939072e-45,0.5911722196012937,0.7631608388637804,0.38883708118497956,True,1
hepatic28,renal28,585,0.5174686491082499,1.8927352639712886e-31,0.4354234510580327,0.5995138471584688,0.14876287658383397,True,1
icufd,renal28,585,0.5358327899031643,2.2852671102698374e-33,0.45380979805465443,0.6178557817516696,0.26366769611098934,True,1
alcohol_binary,vfd,585,-1e-16,0.36265369798271774,-0.9510722282575113,2.5967588792780667,0.8228433255102764,False,1
cardio28,vfd,585,0.8465759915839488,6.99527061661282e-108,0.7863284152718981,0.9068235678960006,0.1534951812744503,True,1
icufd,vfd,585,0.9818723445192542,9.144664459840603e-226,0.9456015008146922,1.018143188223817,0.8715085183703949,True,1
cardio28,death90,585,-0.032487496088985046,2.629749092557035e-101,-0.034910121735875765,-0.03006487044209469,-0.11016122860532615,True,1
cns28,death90,585,-0.014794699090972974,1.284659744786699e-22,-0.01764139894312785,-0.011947999238818247,-0.02348143654783143,True,1
coag28,death90,585,-0.03409655047914195,5.05168011032117e-100,-0.036663066113852755,-0.03153003484443109,-0.15049107246984417,True,1
hepatic28,death90,585,-0.02455956772121226,4.072191136449661e-55,-0.027325684114082965,-0.021793451328341474,-0.059221574773114814,True,1
icufd,death90,585,-0.02762443779143675,1.2803924887984862e-72,-0.030225093338546737,-0.025023782244326272,0.05643056694813948,True,1
orgfree28,death90,585,-0.018262512819492205,3.2097960537302023e-37,-0.020881322391704954,-0.015643703247279678,0.07054614492979316,True,1
pulmon28,death90,585,-0.006951889822789992,0.0007806980104090838,-0.010994663929793438,-0.002909115715786492,0.03349738232680636,True,1
renal28,death90,585,-0.018806310760486333,9.548480448190924e-40,-0.021398437928259642,-0.016214183592713698,-0.04996326975688915,True,1
vfd,death90,585,-0.027259668115037217,8.04504849594923e-86,-0.029549018768761332,-0.024970317461312796,-0.19130885517402643,True,1
