outcome,treatment,weight,iteration
alcohol_binary,alcohol_binary,0.0,1
alcohol_binary,cardio28,0.0,1
alcohol_binary,cns28,0.0,1
alcohol_binary,coag28,0.0,1
alcohol_binary,hepatic28,0.0,1
alcohol_binary,icufd,0.0,1
alcohol_binary,orgfree28,0.0,1
alcohol_binary,pulmon28,0.0,1
alcohol_binary,renal28,0.0,1
alcohol_binary,vfd,0.0,1
alcohol_binary,death90,0.0,1
cardio28,alcohol_binary,1.5171544082192798,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.28618459554116377,1
cardio28,hepatic28,0.09839589835747685,1
cardio28,icufd,0.33284458982269055,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.21304843506635915,1
cardio28,death90,0.0,1
cns28,alcohol_binary,0.571343792886021,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.40752267300442097,1
cns28,hepatic28,0.0,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,alcohol_binary,1.7353213901561513,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.0,1
coag28,icufd,0.0,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.16696791893279195,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,alcohol_binary,1.1662586699306405,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.7516848932838021,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.0,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,alcohol_binary,0.9750565631838584,1
icufd,cardio28,0.0,1
icufd,cns28,0.3509923330287054,1
icufd,coag28,0.4971595246205638,1
icufd,hepatic28,0.0,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.0,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,alcohol_binary,2.3946626608805306,1
orgfree28,cardio28,0.29969234989034343,1
orgfree28,cns28,0.0,1
orgfree28,coag28,-0.16823319022419417,1
orgfree28,hepatic28,0.35696878390824305,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,0.0,1
orgfree28,renal28,0.573064265061065,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,alcohol_binary,-0.375301361225474,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.0,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,alcohol_binary,2.005934497978562,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.3140245106415481,1
renal28,hepatic28,0.19384599411826822,1
renal28,icufd,0.28776799178130563,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,alcohol_binary,1.4620748488557542,1
vfd,cardio28,0.0,1
vfd,cns28,0.0,1
vfd,coag28,0.0,1
vfd,hepatic28,0.0,1
vfd,icufd,0.9794567955502042,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,alcohol_binary,0.0,1
death90,cardio28,-0.08880846205692876,1
death90,cns28,-0.017481237684011126,1
death90,coag28,-0.14680238478663687,1
death90,hepatic28,-0.07829010055202022,1
death90,icufd,0.046002085582024656,1
death90,orgfree28,0.07573438203389501,1
death90,pulmon28,0.0348345056399668,1
death90,renal28,-0.06544719187499962,1
death90,vfd,-0.1834227939779,1
death90,death90,0.0,1
