treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
alcohol_binary,cardio28,467,-1e-16,0.09345284641837386,-0.25648981926703174,3.2907986357055843,1.5171544082192798,False,1
coag28,cardio28,467,0.7137177884171644,6.759272300136442e-66,0.6445019898789068,0.7829335869554264,0.28618459554116377,True,1
hepatic28,cardio28,467,0.5198022446720945,3.621754387192496e-37,0.44654512341664965,0.5930593659275397,0.09839589835747685,True,1
icufd,cardio28,467,0.7416155413551344,3.8535005789452866e-94,0.6862393697406988,0.796991712969582,0.33284458982269055,True,1
vfd,cardio28,467,0.6673430691144162,7.910296226042849e-87,0.6143264468934403,0.7203596913353877,0.21304843506635915,True,1
alcohol_binary,cns28,467,-1e-16,0.5861124687165992,-1.489258694684965,2.6319462804570026,0.571343792886021,False,1
coag28,cns28,467,0.407669864227447,6.532961624478208e-14,0.30408307681607993,0.5112566516388137,0.40752267300442097,True,1
alcohol_binary,coag28,467,-1e-16,0.04538887950581567,0.03576420364322863,3.4348785766690657,1.7353213901561513,True,1
pulmon28,coag28,467,0.1634069495060828,0.0009148281194755472,0.06718030783547926,0.25963359117667817,0.16696791893279195,True,1
alcohol_binary,hepatic28,467,-1e-16,0.21736153549449355,-0.6890675246944544,3.021584864555728,1.1662586699306405,False,1
coag28,hepatic28,467,0.7522897022417103,1.5611131026393693e-67,0.6805690907205842,0.8240103137628368,0.7516848932838021,True,1
alcohol_binary,icufd,467,-1e-16,0.30175721333705696,-0.8783231884817595,2.828436314849472,0.9750565631838584,False,1
cns28,icufd,467,0.49351666769246805,5.371994650581156e-38,0.42491159526149125,0.5621217401234384,0.3509923330287054,True,1
coag28,icufd,467,0.6418799234293838,3.2062753724954426e-45,0.561930743284546,0.7218291035742221,0.4971595246205638,True,1
alcohol_binary,orgfree28,467,-1e-16,0.025539171879916715,0.29423969254081017,4.495085629220249,2.3946626608805306,True,1
cardio28,orgfree28,467,0.7226998471961255,1.0445473055414584e-48,0.6368886324785443,0.8085110619137066,0.29969234989034343,True,1
coag28,orgfree28,467,0.6906955410947546,1.2734725810513077e-39,0.597159646105598,0.7842314360839103,-0.16823319022419417,True,1
hepatic28,orgfree28,467,0.7097263089022638,6.992425874834917e-52,0.6288555595389821,0.7905970582655445,0.35696878390824305,True,1
renal28,orgfree28,467,0.7667026164224129,8.387877607011162e-95,0.7097649833473351,0.8236402494974903,0.573064265061065,True,1
alcohol_binary,pulmon28,467,-0.37530136122547386,0.6444569260959703,-1.9723841700744873,1.2217814476235387,-0.375301361225474,False,1
alcohol_binary,renal28,467,-1e-16,0.06451673132057657,-0.121337374903836,4.133206370860952,2.005934497978562,False,1
coag28,renal28,467,0.6491985764639976,1.4511081069614642e-33,0.5517627292412569,0.7466344236867378,0.3140245106415481,True,1
hepatic28,renal28,467,0.5235110935469693,2.5562836343700704e-25,0.4303126891577165,0.6167094979362266,0.19384599411826822,True,1
icufd,renal28,467,0.5449229828076572,1.7710751386236134e-27,0.45256622381067424,0.6372797418046316,0.28776799178130563,True,1
alcohol_binary,vfd,467,-1e-16,0.1525441204528926,-0.5429444715378833,3.4670941692493886,1.4620748488557542,False,1
icufd,vfd,467,0.9782795110005893,4.685216156267854e-173,0.9359493036521329,1.020609718349047,0.9794567955502042,True,1
cardio28,death90,467,-0.03157242787848802,7.588158097103464e-74,-0.03439796478622399,-0.028746890970752736,-0.08880846205692876,True,1
cns28,death90,467,-0.015070347620775859,7.538816205302748e-19,-0.018268351912479067,-0.011872343329073137,-0.017481237684011126,True,1
coag28,death90,467,-0.03382319934885181,5.941874371519202e-80,-0.036680586540583954,-0.030965812157119337,-0.14680238478663687,True,1
hepatic28,death90,467,-0.02433554975058949,2.333254408798051e-42,-0.0274954016989271,-0.02117569780225194,-0.07829010055202022,True,1
icufd,death90,467,-0.028051987857321214,5.156764790862652e-60,-0.030952644204388154,-0.02515133151025383,0.046002085582024656,True,1
orgfree28,death90,467,-0.018136726848556772,4.0399801900954493e-29,-0.02110481724942013,-0.01516863644769371,0.07573438203389501,True,1
pulmon28,death90,467,-0.006830807045995979,0.0026836898942488763,-0.011278392164571886,-0.0023832219274197413,0.0348345056399668,True,1
renal28,death90,467,-0.018830683407064175,2.1910914160627576e-32,-0.021719475068500978,-0.015941891745626817,-0.06544719187499962,True,1
vfd,death90,467,-0.02742704304865551,5.1448914471196784e-70,-0.029976391923310062,-0.02487769417400128,-0.1834227939779,True,1
