outcome,treatment,weight,iteration
alcohol_binary,alcohol_binary,0.0,1
alcohol_binary,cardio28,0.0,1
alcohol_binary,cns28,0.0,1
alcohol_binary,coag28,0.0,1
alcohol_binary,hepatic28,0.0,1
alcohol_binary,icufd,0.0,1
alcohol_binary,orgfree28,0.0,1
alcohol_binary,pulmon28,0.0,1
alcohol_binary,renal28,0.0,1
alcohol_binary,vfd,0.0,1
alcohol_binary,death90,0.0,1
cardio28,alcohol_binary,-0.005816658911121091,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.30095066495000233,1
cardio28,hepatic28,0.1549776586285958,1
cardio28,icufd,0.2640381903510288,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.18154864872343202,1
cardio28,death90,0.0,1
cns28,alcohol_binary,-0.5389626659984968,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.41322427647208493,1
cns28,hepatic28,0.0,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,alcohol_binary,0.6675376740523324,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.0,1
coag28,icufd,0.0,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.14273662334885281,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,alcohol_binary,-0.41339442316641173,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.7927438416379269,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.0,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,alcohol_binary,-1.21727458209543,1
icufd,cardio28,0.0,1
icufd,cns28,0.35536340517353165,1
icufd,coag28,0.3842842381845746,1
icufd,hepatic28,0.1421683136755692,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.10346465382271622,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,alcohol_binary,0.9784873107348679,1
orgfree28,cardio28,0.47095732926386563,1
orgfree28,cns28,-0.050024253216410526,1
orgfree28,coag28,-0.14843083180147532,1
orgfree28,hepatic28,0.2072611070817117,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,-0.08879545662451539,1
orgfree28,renal28,0.5697498013279421,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,alcohol_binary,-1.5720191860257031,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.0,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,alcohol_binary,1.461073128825573,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.39369536443953823,1
renal28,hepatic28,0.21189016754149742,1
renal28,icufd,0.19692239540145004,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,alcohol_binary,-0.9622006657837281,1
vfd,cardio28,0.0,1
vfd,cns28,0.0609475777102608,1
vfd,coag28,0.0,1
vfd,hepatic28,0.0,1
vfd,icufd,0.951883852739523,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,alcohol_binary,0.0,1
death90,cardio28,-0.11241898232652003,1
death90,cns28,0.013730783839085815,1
death90,coag28,-0.16489640688757357,1
death90,hepatic28,-0.07981931795266875,1
death90,icufd,0.007529368754035171,1
death90,orgfree28,0.09711298712098915,1
death90,pulmon28,-0.01120680402574855,1
death90,renal28,-0.05201548580902087,1
death90,vfd,-0.14720447637200815,1
death90,death90,0.0,1
