treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
alcohol_binary,cardio28,796,-0.005816658911125927,0.9944553087791079,-1.6483215098468014,1.6366881920245593,-0.005816658911121091,False,1
coag28,cardio28,796,0.7189519793441801,8.770422860768175e-106,0.6637967594729581,0.7741071992154038,0.30095066495000233,True,1
hepatic28,cardio28,796,0.5997990720194668,2.066447836994326e-80,0.5447113650716797,0.6548867789672588,0.1549776586285958,True,1
icufd,cardio28,796,0.6950595577449512,1.0065427014929182e-117,0.6455176993491895,0.7446014161407134,0.2640381903510288,True,1
vfd,cardio28,796,0.6295526275744692,3.0872118464596764e-110,0.582594119896072,0.6765111352528699,0.18154864872343202,True,1
alcohol_binary,cns28,796,-0.5389626659984952,0.5681886264296041,-2.391913774890414,1.3139884428934219,-0.5389626659984968,False,1
coag28,cns28,796,0.4135703312678499,2.3464120880963087e-23,0.33459679675379844,0.4925438657819013,0.41322427647208493,True,1
alcohol_binary,coag28,796,-1e-16,0.39359395729481406,-0.8675777766955681,2.2026531248002317,0.6675376740523324,False,1
pulmon28,coag28,796,0.13754813368179697,0.0003799086166696172,0.06189576548303516,0.21320050188055978,0.14273662334885281,True,1
alcohol_binary,hepatic28,796,-0.41339442316641595,0.6239692852499588,-2.0680338829272173,1.2412450365943954,-0.41339442316641173,False,1
coag28,hepatic28,796,0.7929646638789754,1.2949350257766897e-136,0.7421406878020905,0.8437886399558606,0.7927438416379269,True,1
alcohol_binary,icufd,796,-1.2172745820954294,0.14785708590880375,-2.8668212871393175,0.43227212294846096,-1.21727458209543,False,1
cns28,icufd,796,0.5140696597282339,8.728076822684241e-72,0.46335423336204384,0.5647850860944205,0.35536340517353165,True,1
coag28,icufd,796,0.6573229180321595,1.060327246045932e-82,0.5980253401386985,0.7166204959256203,0.3842842381845746,True,1
hepatic28,icufd,796,0.5336673295340657,4.638466730911796e-60,0.4749115675172336,0.5924230915508996,0.1421683136755692,True,1
pulmon28,icufd,796,0.23068559870950267,2.4915718540689214e-08,0.15026376616270926,0.3111074312562975,0.10346465382271622,True,1
alcohol_binary,orgfree28,796,-1e-16,0.3077107394027078,-0.9033003593430464,2.8602749808127834,0.9784873107348679,False,1
cardio28,orgfree28,796,0.762069536409183,1.2115493133361116e-102,0.7024047925319914,0.8217342802863745,0.47095732926386563,True,1
cns28,orgfree28,796,0.27648735481699127,5.5607390283383275e-15,0.20837975959760535,0.344594950036367,-0.050024253216410526,True,1
coag28,orgfree28,796,0.7209098929650319,3.4527087873084334e-75,0.6518230378630968,0.7899967480669682,-0.14843083180147532,True,1
hepatic28,orgfree28,796,0.6997834813579329,5.412335546211276e-84,0.637280352297525,0.7622866104183412,0.2072611070817117,True,1
pulmon28,orgfree28,796,0.030900906503749326,0.516565892692304,-0.0625704206572748,0.1243722336647699,-0.08879545662451539,False,1
renal28,orgfree28,796,0.7673531034416692,6.0714806952133024e-151,0.721685423764035,0.8130207831193027,0.5697498013279421,True,1
alcohol_binary,pulmon28,796,-1.572019186025699,0.02765976930667584,-2.9707532748363286,-0.1732850972150719,-1.5720191860257031,True,1
alcohol_binary,renal28,796,-1e-16,0.12408698151198369,-0.40191527956827233,3.324061537219414,1.461073128825573,False,1
coag28,renal28,796,0.6929774043836185,6.738733353820876e-70,0.6234679384362493,0.7624868703309856,0.39369536443953823,True,1
hepatic28,renal28,796,0.5834252619966867,9.929200077713224e-56,0.5162195108938564,0.6506310130995249,0.21189016754149742,True,1
icufd,renal28,796,0.530851419984133,5.629304968935484e-45,0.4613923114272888,0.6003105285409818,0.19692239540145004,True,1
alcohol_binary,vfd,796,-0.9622006657837279,0.28883852519304887,-2.741725538514098,0.817324206946644,-0.9622006657837281,False,1
cns28,vfd,796,0.5476189260041302,9.444775037788149e-70,0.49261802109188557,0.6026198309163777,0.0609475777102608,True,1
icufd,vfd,796,0.9889287883212088,1.1316e-319,0.9590142972182836,1.018843279424133,0.951883852739523,True,1
cardio28,death90,796,-0.029955928557533484,6.810370837506863e-113,-0.03215407260793717,-0.02775778450712948,-0.11241898232652003,True,1
cns28,death90,796,-0.01452402870760322,3.1035480517144836e-28,-0.017012348354761505,-0.012035709060444672,0.013730783839085815,True,1
coag28,death90,796,-0.03523802650319552,4.457345960736658e-149,-0.03735493724404259,-0.03312111576234834,-0.16489640688757357,True,1
hepatic28,death90,796,-0.028420862613923514,5.72579570870414e-100,-0.03068575236533357,-0.02615597286251339,-0.07981931795266875,True,1
icufd,death90,796,-0.02891192045027491,4.278726962880627e-104,-0.031154199406814846,-0.026669641493735373,0.007529368754035171,True,1
orgfree28,death90,796,-0.019281314990248266,1.852316700942492e-53,-0.02155849317726801,-0.017004136803228466,0.09711298712098915,True,1
pulmon28,death90,796,-0.007743967939051299,1.649311758448617e-05,-0.011251035936974317,-0.0042368999411285455,-0.01120680402574855,True,1
renal28,death90,796,-0.01966749594906414,9.331275466326941e-55,-0.021957131216972063,-0.017377860681157167,-0.05201548580902087,True,1
vfd,death90,796,-0.027412583536071677,1.7909905978304224e-110,-0.02945429494883025,-0.025370872123312932,-0.14720447637200815,True,1
