outcome,treatment,weight,iteration
alcohol_binary,alcohol_binary,0.0,1
alcohol_binary,cardio28,0.0,1
alcohol_binary,cns28,0.0,1
alcohol_binary,coag28,0.0,1
alcohol_binary,hepatic28,0.0,1
alcohol_binary,icufd,0.0,1
alcohol_binary,orgfree28,0.0,1
alcohol_binary,pulmon28,0.0,1
alcohol_binary,renal28,0.0,1
alcohol_binary,vfd,0.0,1
alcohol_binary,death90,0.0,1
cardio28,alcohol_binary,1.2794970927577705,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.3154202347995301,1
cardio28,hepatic28,0.130370173496391,1
cardio28,icufd,0.263469169111741,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.18858028630196363,1
cardio28,death90,0.0,1
cns28,alcohol_binary,0.9033090809461457,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.30569139106641063,1
cns28,hepatic28,0.13765264275366054,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.08869092198959472,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,alcohol_binary,1.3671679503181233,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.0,1
coag28,icufd,0.0,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.13401794117000218,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,alcohol_binary,0.5749490091022564,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.7897869485053576,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.0,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,alcohol_binary,0.6170994550823466,1
icufd,cardio28,0.0,1
icufd,cns28,0.3414062429653157,1
icufd,coag28,0.4163421556101734,1
icufd,hepatic28,0.11270839020203972,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.0943311380219382,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,alcohol_binary,1.9199579895887244,1
orgfree28,cardio28,0.4350844936164864,1
orgfree28,cns28,0.0,1
orgfree28,coag28,-0.19170043232027795,1
orgfree28,hepatic28,0.26546893270311894,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,-0.06951869876541783,1
orgfree28,renal28,0.5773267471249393,1
orgfree28,vfd,0.0,1
orgfree28,death90,0.0,1
pulmon28,alcohol_binary,-0.6586167006605991,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.0,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,alcohol_binary,1.854808365551463,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.4162443175969189,1
renal28,hepatic28,0.1983948535543113,1
renal28,icufd,0.19739312430838502,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,alcohol_binary,0.9355809918110133,1
vfd,cardio28,0.0,1
vfd,cns28,0.04827914240474547,1
vfd,coag28,0.0519369504012916,1
vfd,hepatic28,0.0,1
vfd,icufd,0.9258127698098565,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,alcohol_binary,0.0,1
death90,cardio28,-0.11161734343721819,1
death90,cns28,-0.004523462140813491,1
death90,coag28,-0.1665323467124091,1
death90,hepatic28,-0.07688225509953546,1
death90,icufd,0.011100793383468246,1
death90,orgfree28,0.09594399392932333,1
death90,pulmon28,0.009296554647346883,1
death90,renal28,-0.06254098607919278,1
death90,vfd,-0.15556525766646828,1
death90,death90,0.0,1
