treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
alcohol_binary,cardio28,1149,-1e-16,0.02466918277644905,0.16351241013633344,2.395481775379208,1.2794970927577705,True,1
coag28,cardio28,1149,0.7234024814864695,3.959472464529049e-153,0.6774889095328263,0.7693160534401109,0.3154202347995301,True,1
hepatic28,cardio28,1149,0.5855625582764494,2.5482491125729996e-108,0.5390392563823031,0.6320858601705949,0.130370173496391,True,1
icufd,cardio28,1149,0.6895595967875412,1.1590778209430711e-175,0.6497420031681992,0.7293771904068757,0.263469169111741,True,1
vfd,cardio28,1149,0.6257289914527551,2.3462305381494256e-164,0.5878860236469179,0.6635719592585936,0.18858028630196363,True,1
alcohol_binary,cns28,1149,-1e-16,0.174809489576919,-0.40202774591057155,2.2086459078028664,0.9033090809461457,False,1
coag28,cns28,1149,0.4281597234500204,8.496486513721659e-33,0.3599175598621048,0.49640188703793603,0.30569139106641063,True,1
hepatic28,cns28,1149,0.3573787774829347,1.2043748288488594e-26,0.29339181547000137,0.4213657394958662,0.13765264275366054,True,1
pulmon28,cns28,1149,0.1434954538238511,0.00019911021890897277,0.0680594504656308,0.21893145718207688,0.08869092198959472,True,1
alcohol_binary,coag28,1149,-1e-16,0.009974759677675018,0.3278691205115256,2.4064667801247213,1.3671679503181233,True,1
pulmon28,coag28,1149,0.12936273068840265,2.588259352825407e-05,0.06927657919806678,0.18944888217874062,0.13401794117000218,True,1
alcohol_binary,hepatic28,1149,-1e-16,0.31613731988245186,-0.5498975595074012,1.699795577711915,0.5749490091022564,False,1
coag28,hepatic28,1149,0.7880783432882179,9.251430409890122e-192,0.7453259784682272,0.8308307081082108,0.7897869485053576,True,1
alcohol_binary,icufd,1149,-1e-16,0.2918888114914875,-0.53112451076468,1.7653234209293762,0.6170994550823466,False,1
cns28,icufd,1149,0.49508875483599724,4.6509030188715647e-97,0.4529863755183151,0.5371911341536828,0.3414062429653157,True,1
coag28,icufd,1149,0.6629228601006791,5.5161120472954474e-114,0.6119136919655844,0.7139320282357741,0.4163421556101734,True,1
hepatic28,icufd,1149,0.5277659959564351,1.575861915798039e-79,0.4771432632321701,0.5783887286806974,0.11270839020203972,True,1
pulmon28,icufd,1149,0.20749425268273392,7.783854567578212e-10,0.14184894705122675,0.27313955831423053,0.0943311380219382,True,1
alcohol_binary,orgfree28,1149,-1e-16,0.004166418614229016,0.6078823565658893,3.232033622611558,1.9199579895887244,True,1
cardio28,orgfree28,1149,0.767502132339558,5.485590843635323e-140,0.7157808520598159,0.8192234126193003,0.4350844936164864,True,1
coag28,orgfree28,1149,0.7365038561861854,1.4506315398760641e-105,0.677039859220367,0.7959678531520042,-0.19170043232027795,True,1
hepatic28,orgfree28,1149,0.7235932352025132,3.523857961645324e-122,0.6703204462017246,0.7768660242033029,0.26546893270311894,True,1
pulmon28,orgfree28,1149,0.04809697336518681,0.21729150422924323,-0.02834890274531726,0.12454284947568653,-0.06951869876541783,False,1
renal28,orgfree28,1149,0.778192954457732,4.1353525347394415e-220,0.7400674719664073,0.8163184369490561,0.5773267471249393,True,1
alcohol_binary,pulmon28,1149,-0.658616700660597,0.1949730264692777,-1.655118826172287,0.3378854248510921,-0.6586167006605991,False,1
alcohol_binary,renal28,1149,-1e-16,0.00478862616071872,0.5672515974239571,3.142365133678968,1.854808365551463,True,1
coag28,renal28,1149,0.7074260643728394,2.911180679367232e-100,0.6484563867625388,0.7663957419831442,0.4162443175969189,True,1
hepatic28,renal28,1149,0.5842721866325693,1.0350776580648632e-76,0.5270146639817542,0.641529709283385,0.1983948535543113,True,1
icufd,renal28,1149,0.5252828364662072,2.596314497083841e-63,0.467668706403195,0.5828969665292236,0.19739312430838502,True,1
alcohol_binary,vfd,1149,-1e-16,0.13754334091783077,-0.29967651352690927,2.1708384971489387,0.9355809918110133,False,1
cns28,vfd,1149,0.5183639479053763,6.471081182960402e-91,0.47248742396129956,0.56424047184945,0.04827914240474547,True,1
coag28,vfd,1149,0.6880430955420811,2.9183243757855957e-104,0.6320608851900217,0.7440253058941405,0.0519369504012916,True,1
icufd,vfd,1149,0.984326296477482,0.0,0.9591039300254105,1.009548662929554,0.9258127698098565,True,1
cardio28,death90,1149,-0.03023154690318819,5.340437000765021e-171,-0.03201039221827717,-0.02845270158809929,-0.11161734343721819,True,1
cns28,death90,1149,-0.014249701582666197,3.459513921073664e-42,-0.016221032105117376,-0.012278371060214878,-0.004523462140813491,True,1
coag28,death90,1149,-0.03517371458579599,1.578068554005638e-217,-0.03691239072093558,-0.03343503845065579,-0.1665323467124091,True,1
hepatic28,death90,1149,-0.02779487096573996,2.2880969368131492e-138,-0.02968238028878483,-0.02590736164269529,-0.07688225509953546,True,1
icufd,death90,1149,-0.027996751019769617,5.5026125947736515e-149,-0.029806791243040462,-0.026186710796498723,0.011100793383468246,True,1
orgfree28,death90,1149,-0.018460861657371763,3.503020332514876e-75,-0.020291704707778146,-0.016630018606965755,0.09594399392932333,True,1
pulmon28,death90,1149,-0.00700840654953136,7.955964434710463e-07,-0.009778569787801523,-0.004238243311261342,0.009296554647346883,True,1
renal28,death90,1149,-0.01935140346151798,3.6557483029575114e-80,-0.021198794865575382,-0.017504012057460737,-0.06254098607919278,True,1
vfd,death90,1149,-0.02680629486124375,1.008646831065772e-161,-0.028445589206597646,-0.025167000515890024,-0.15556525766646828,True,1
