outcome,treatment,weight,iteration
alcohol_binary,alcohol_binary,0.0,1
alcohol_binary,cardio28,0.0,1
alcohol_binary,cns28,0.0,1
alcohol_binary,coag28,0.0,1
alcohol_binary,hepatic28,0.0,1
alcohol_binary,icufd,0.0,1
alcohol_binary,orgfree28,0.0,1
alcohol_binary,pulmon28,0.0,1
alcohol_binary,renal28,0.0,1
alcohol_binary,vfd,0.0,1
alcohol_binary,death90,0.0,1
cardio28,alcohol_binary,1.9421801035332324,1
cardio28,cardio28,0.0,1
cardio28,cns28,0.0,1
cardio28,coag28,0.29245744762295595,1
cardio28,hepatic28,0.14133323602903225,1
cardio28,icufd,0.2726680432512465,1
cardio28,orgfree28,0.0,1
cardio28,pulmon28,0.0,1
cardio28,renal28,0.0,1
cardio28,vfd,0.18480269451452702,1
cardio28,death90,0.0,1
cns28,alcohol_binary,1.6469166105323385,1
cns28,cardio28,0.0,1
cns28,cns28,0.0,1
cns28,coag28,0.2916824803833046,1
cns28,hepatic28,0.16662310946045025,1
cns28,icufd,0.0,1
cns28,orgfree28,0.0,1
cns28,pulmon28,0.0,1
cns28,renal28,0.0,1
cns28,vfd,0.0,1
cns28,death90,0.0,1
coag28,alcohol_binary,1.7278838434636565,1
coag28,cardio28,0.0,1
coag28,cns28,0.0,1
coag28,coag28,0.0,1
coag28,hepatic28,0.0,1
coag28,icufd,0.0,1
coag28,orgfree28,0.0,1
coag28,pulmon28,0.1310306395217538,1
coag28,renal28,0.0,1
coag28,vfd,0.0,1
coag28,death90,0.0,1
hepatic28,alcohol_binary,1.0845198438696697,1
hepatic28,cardio28,0.0,1
hepatic28,cns28,0.0,1
hepatic28,coag28,0.7674719099036976,1
hepatic28,hepatic28,0.0,1
hepatic28,icufd,0.0,1
hepatic28,orgfree28,0.0,1
hepatic28,pulmon28,0.0,1
hepatic28,renal28,0.0,1
hepatic28,vfd,0.0,1
hepatic28,death90,0.0,1
icufd,alcohol_binary,1.5628673722674882,1
icufd,cardio28,0.0,1
icufd,cns28,0.33908721310529977,1
icufd,coag28,0.44355114590768646,1
icufd,hepatic28,0.07789405018731252,1
icufd,icufd,0.0,1
icufd,orgfree28,0.0,1
icufd,pulmon28,0.0900755222686882,1
icufd,renal28,0.0,1
icufd,vfd,0.0,1
icufd,death90,0.0,1
orgfree28,alcohol_binary,2.4053621356266897,1
orgfree28,cardio28,0.45897012707215673,1
orgfree28,cns28,0.0,1
orgfree28,coag28,-0.14384208512471344,1
orgfree28,hepatic28,0.22830916839385243,1
orgfree28,icufd,0.0,1
orgfree28,orgfree28,0.0,1
orgfree28,pulmon28,-0.06522611891363614,1
orgfree28,renal28,0.5869588976296648,1
orgfree28,vfd,-0.055248372447506924,1
orgfree28,death90,0.0,1
pulmon28,alcohol_binary,-0.18768397449502192,1
pulmon28,cardio28,0.0,1
pulmon28,cns28,0.0,1
pulmon28,coag28,0.0,1
pulmon28,hepatic28,0.0,1
pulmon28,icufd,0.0,1
pulmon28,orgfree28,0.0,1
pulmon28,pulmon28,0.0,1
pulmon28,renal28,0.0,1
pulmon28,vfd,0.0,1
pulmon28,death90,0.0,1
renal28,alcohol_binary,2.057810668905887,1
renal28,cardio28,0.0,1
renal28,cns28,0.0,1
renal28,coag28,0.3579310701245181,1
renal28,hepatic28,0.25270265100610184,1
renal28,icufd,0.20129006794721685,1
renal28,orgfree28,0.0,1
renal28,pulmon28,0.0,1
renal28,renal28,0.0,1
renal28,vfd,0.0,1
renal28,death90,0.0,1
vfd,alcohol_binary,1.9140406566332326,1
vfd,cardio28,0.0,1
vfd,cns28,0.05203218748084662,1
vfd,coag28,0.055835800077635764,1
vfd,hepatic28,0.0,1
vfd,icufd,0.9161027923098208,1
vfd,orgfree28,0.0,1
vfd,pulmon28,0.0,1
vfd,renal28,0.0,1
vfd,vfd,0.0,1
vfd,death90,0.0,1
death90,alcohol_binary,0.0,1
death90,cardio28,-0.10693508326455141,1
death90,cns28,-0.003484006382958616,1
death90,coag28,-0.17718208144177502,1
death90,hepatic28,-0.0754940581776581,1
death90,icufd,0.002191551376022521,1
death90,orgfree28,0.10572492245463885,1
death90,pulmon28,0.010524286352456377,1
death90,renal28,-0.07949884387146962,1
death90,vfd,-0.13921376449965528,1
death90,death90,0.0,1
