treatment,outcome,sample_size,effect,pvalue,ci_lower,ci_upper,lingam_weight,significant,iteration
alcohol_binary,cardio28,967,-1e-16,0.002585477034932103,0.6805673802392977,3.2037928268271725,1.9421801035332324,True,1
coag28,cardio28,967,0.7077626996787609,1.8554272895409474e-125,0.6578135093908212,0.7577118899667056,0.29245744762295595,True,1
hepatic28,cardio28,967,0.5849887176128838,5.164921665559708e-88,0.5330852986310503,0.6368921365947201,0.14133323602903225,True,1
icufd,cardio28,967,0.687697166096596,8.971479292103463e-147,0.644120477229429,0.7312738549637617,0.2726680432512465,True,1
vfd,cardio28,967,0.6217012121017671,1.4362806769150639e-136,0.5802845878754846,0.6631178363280456,0.18480269451452702,True,1
alcohol_binary,cns28,967,-1e-16,0.02920075296388277,0.1671006363737051,3.1267325846909744,1.6469166105323385,True,1
coag28,cns28,967,0.4258005604405719,4.643075321522848e-28,0.3520999529186475,0.49950116796249766,0.2916824803833046,True,1
hepatic28,cns28,967,0.37394418367076154,5.5299285340831836e-24,0.30321685999558234,0.4446715073459414,0.16662310946045025,True,1
alcohol_binary,coag28,967,-1e-16,0.004455707167129449,0.5383929341728306,2.9173747527544918,1.7278838434636565,True,1
pulmon28,coag28,967,0.1284923997265608,9.865163540442158e-05,0.06400630226753921,0.1929784971855994,0.1310306395217538,True,1
alcohol_binary,hepatic28,967,-1e-16,0.09021112954590389,-0.17037824421824,2.339417931957586,1.0845198438696697,False,1
coag28,hepatic28,967,0.767074539649161,4.459221756635086e-161,0.7215818203182259,0.8125672589800995,0.7674719099036976,True,1
alcohol_binary,icufd,967,-1e-16,0.01829525321827299,0.26527099805278165,2.860463746482197,1.5628673722674882,True,1
cns28,icufd,967,0.49315256585549605,1.1561739878957916e-81,0.44732132745230296,0.5389838042586843,0.33908721310529977,True,1
coag28,icufd,967,0.6614124029506394,1.9130249486284935e-98,0.6067231011081555,0.7161017047931233,0.44355114590768646,True,1
hepatic28,icufd,967,0.5260949646340953,1.3593577601802152e-64,0.46975332293180383,0.5824366063363882,0.07789405018731252,True,1
pulmon28,icufd,967,0.19946994367224846,2.5292514717614007e-08,0.1297908114628532,0.2691490758816333,0.0900755222686882,True,1
alcohol_binary,orgfree28,967,-1e-16,0.0015456685369300408,0.9186560209027668,3.8920682503506168,2.4053621356266897,True,1
cardio28,orgfree28,967,0.7552922389739265,7.879701840054851e-113,0.6981022386113286,0.8124822393365242,0.45897012707215673,True,1
coag28,orgfree28,967,0.719525463158925,3.140215146993515e-86,0.6548670422769859,0.7841838840408645,-0.14384208512471344,True,1
hepatic28,orgfree28,967,0.7215110224475916,2.6305524553067946e-98,0.6617990436719281,0.7812230012232568,0.22830916839385243,True,1
pulmon28,orgfree28,967,0.04998576486340944,0.2276418396093615,-0.03126954383531617,0.13124107356213605,-0.06522611891363614,False,1
renal28,orgfree28,967,0.7754888093944494,1.951770495800769e-186,0.7342172145892693,0.81676040419963,0.5869588976296648,True,1
vfd,orgfree28,967,0.5149341841660844,8.979205518677546e-58,0.4560250912011243,0.5738432771310512,-0.055248372447506924,True,1
alcohol_binary,pulmon28,967,-0.1876839744950214,0.7511172613099589,-1.3486223755170812,0.973254426527038,-0.18768397449502192,False,1
alcohol_binary,renal28,967,-1e-16,0.006057081913247869,0.5897412343733668,3.525880103438415,2.057810668905887,True,1
coag28,renal28,967,0.6894004919108507,1.734750145781969e-80,0.6247571832178613,0.7540438006038388,0.3579310701245181,True,1
hepatic28,renal28,967,0.6084600393753936,9.413260437327408e-68,0.5451293540238177,0.671790724726968,0.25270265100610184,True,1
icufd,renal28,967,0.5274545339534082,3.199599876708642e-53,0.464142537485718,0.5907665304211038,0.20129006794721685,True,1
alcohol_binary,vfd,967,-1e-16,0.0073255758261040835,0.5163323451214636,3.311748968145003,1.9140406566332326,True,1
cns28,vfd,967,0.5184495330651409,5.867200976943275e-77,0.46848418611325093,0.5684148800170339,0.05203218748084662,True,1
coag28,vfd,967,0.6846070892026149,4.450185162773125e-89,0.6243187896540237,0.744895388751206,0.055835800077635764,True,1
icufd,vfd,967,0.9806564640667269,0.0,0.9523677953619548,1.0089451327714984,0.9161027923098208,True,1
cardio28,death90,967,-0.029406222225115353,3.9685508430983884e-135,-0.031379532706071266,-0.027432911744159107,-0.10693508326455141,True,1
cns28,death90,967,-0.014096541319770173,1.9417607805197486e-35,-0.016234180370326094,-0.011958902269214597,-0.003484006382958616,True,1
coag28,death90,967,-0.0350286455892177,4.4771465943095964e-190,-0.03686558458320866,-0.033191706595225905,-0.17718208144177502,True,1
hepatic28,death90,967,-0.02767566691425627,2.2665879843659816e-112,-0.029776840424618322,-0.02557449340389564,-0.0754940581776581,True,1
icufd,death90,967,-0.0278793988608963,1.4364480119109063e-125,-0.029845770787277414,-0.0259130269345151,0.002191551376022521,True,1
orgfree28,death90,967,-0.017897622528311508,4.7470312578348957e-60,-0.019899032896182375,-0.015896212160440668,0.10572492245463885,True,1
pulmon28,death90,967,-0.006822579546628987,5.415223286275821e-06,-0.009749926376169085,-0.003895232717088912,0.010524286352456377,True,1
renal28,death90,967,-0.019390367661281105,9.117402874377471e-70,-0.021373427849381593,-0.017407307473180603,-0.07949884387146962,True,1
vfd,death90,967,-0.026500103045536072,3.615735744890007e-134,-0.028287097260790386,-0.0247131088302813,-0.13921376449965528,True,1
