Comparison,Group,Effect
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.5345363280699513
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0300819919841754
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0138856229909468
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0356121375920504
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0280873613616812
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0274487773617727
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0183863818843343
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0068413792605255
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0191438623319726
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0261123183459471
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-2.0703448275862044
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-2.293793103448269
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-1.5034482758620695
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-0.1820689655172422
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-6.120000000000001
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-3.03862068965517
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-2.4468965517241443
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-5.748965517241377
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-0.0315311896787817
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-0.0209634371459124
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-0.0285650690013355
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-0.0239666352443802
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-0.0365987484058488
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-0.017447223938881
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-0.0094931294575424
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-0.0224338755463432
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-0.0382891940024123
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-1e-16
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-1e-16
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-1e-16
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-1e-16
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-1e-16
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-1e-16
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-0.1413927789826994
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-1e-16
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-1e-16
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-0.0296168259647452
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-0.0139334712882345
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-0.0355007516003262
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-0.0282132000993656
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-0.0276061929777416
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-0.0181500520124328
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-0.0068389684899747
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-0.0194638931770365
"Cirrhosis
ND vs MD",CirrAbsent_ND_vs_Mod,-0.0261053451568534
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-1e-16
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-1e-16
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-1e-16
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-1e-16
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-0.2628571428571433
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-1e-16
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-1.5657142857142867
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-1e-16
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-1e-16
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-0.0234495988490013
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-0.0197279330296687
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-0.0258447488584474
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-0.0189232983983698
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-0.0377818009396956
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-0.0102360192903452
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-0.006821880085117
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-0.0176270751874879
"Cirrhosis
ND vs MD",CirrPresent_ND_vs_Mod,-0.0387573651342483
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-1e-16
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-0.0099851443123952
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-1e-16
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-1e-16
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-0.4557512733446511
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-1e-16
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-1.384709252971136
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-1e-16
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-0.1260929541595921
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-0.0298060378472497
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-0.0142042675488122
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-0.0359014178791083
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-0.0290561778678455
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-0.0283745244464801
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-0.0193043803645318
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-0.0076200484669992
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-0.0194795663974187
"Cirrhosis
ND vs HD",CirrAbsent_ND_vs_Heavy,-0.0266313866017662
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-3.941818181818171
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-4.8345454545454505
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-2.7636363636363583
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-2.3654545454545453
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-7.98363636363637
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-0.2927272727272658
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-3.5072727272727287
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-4.194545454545466
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-7.770909090909088
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-0.0312948859271131
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-0.018715558317796
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-0.0278792726048153
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-0.0233446519524613
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-0.0353567570785812
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-0.0170388737540981
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-0.0088783683428813
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-0.0214669800464489
"Cirrhosis
ND vs HD",CirrPresent_ND_vs_Heavy,-0.0378971336318501
