Comparison,Group,Effect
"Gender
ND vs Any",Male_ND_vs_Any,-1e-16
"Gender
ND vs Any",Male_ND_vs_Any,-1e-16
"Gender
ND vs Any",Male_ND_vs_Any,-1e-16
"Gender
ND vs Any",Male_ND_vs_Any,-1e-16
"Gender
ND vs Any",Male_ND_vs_Any,-1e-16
"Gender
ND vs Any",Male_ND_vs_Any,-1e-16
"Gender
ND vs Any",Male_ND_vs_Any,-0.674454163999715
"Gender
ND vs Any",Male_ND_vs_Any,-1e-16
"Gender
ND vs Any",Male_ND_vs_Any,-1e-16
"Gender
ND vs Any",Male_ND_vs_Any,-0.032487496088985
"Gender
ND vs Any",Male_ND_vs_Any,-0.0147946990909729
"Gender
ND vs Any",Male_ND_vs_Any,-0.0340965504791419
"Gender
ND vs Any",Male_ND_vs_Any,-0.0245595677212122
"Gender
ND vs Any",Male_ND_vs_Any,-0.0276244377914367
"Gender
ND vs Any",Male_ND_vs_Any,-0.0182625128194922
"Gender
ND vs Any",Male_ND_vs_Any,-0.0069518898227899
"Gender
ND vs Any",Male_ND_vs_Any,-0.0188063107604863
"Gender
ND vs Any",Male_ND_vs_Any,-0.0272596681150372
"Gender
ND vs Any",Female_ND_vs_Any,-1e-16
"Gender
ND vs Any",Female_ND_vs_Any,-1e-16
"Gender
ND vs Any",Female_ND_vs_Any,-1e-16
"Gender
ND vs Any",Female_ND_vs_Any,-1e-16
"Gender
ND vs Any",Female_ND_vs_Any,-1e-16
"Gender
ND vs Any",Female_ND_vs_Any,-1e-16
"Gender
ND vs Any",Female_ND_vs_Any,-0.5897255834053596
"Gender
ND vs Any",Female_ND_vs_Any,-1e-16
"Gender
ND vs Any",Female_ND_vs_Any,-1e-16
"Gender
ND vs Any",Female_ND_vs_Any,-0.0279108587171621
"Gender
ND vs Any",Female_ND_vs_Any,-0.0136919359992565
"Gender
ND vs Any",Female_ND_vs_Any,-0.0363382203587434
"Gender
ND vs Any",Female_ND_vs_Any,-0.0320134567968338
"Gender
ND vs Any",Female_ND_vs_Any,-0.0283657797358553
"Gender
ND vs Any",Female_ND_vs_Any,-0.018635710578832
"Gender
ND vs Any",Female_ND_vs_Any,-0.0070161030793822
"Gender
ND vs Any",Female_ND_vs_Any,-0.0200251221915669
"Gender
ND vs Any",Female_ND_vs_Any,-0.0262597276472309
"Gender
ND vs MD",Male_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Male_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Male_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Male_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Male_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Male_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Male_ND_vs_Mod,-0.3753013612254738
"Gender
ND vs MD",Male_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Male_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Male_ND_vs_Mod,-0.031572427878488
"Gender
ND vs MD",Male_ND_vs_Mod,-0.0150703476207758
"Gender
ND vs MD",Male_ND_vs_Mod,-0.0338231993488518
"Gender
ND vs MD",Male_ND_vs_Mod,-0.0243355497505894
"Gender
ND vs MD",Male_ND_vs_Mod,-0.0280519878573212
"Gender
ND vs MD",Male_ND_vs_Mod,-0.0181367268485567
"Gender
ND vs MD",Male_ND_vs_Mod,-0.0068308070459959
"Gender
ND vs MD",Male_ND_vs_Mod,-0.0188306834070641
"Gender
ND vs MD",Male_ND_vs_Mod,-0.0274270430486555
"Gender
ND vs MD",Female_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Female_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Female_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Female_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Female_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Female_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Female_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Female_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Female_ND_vs_Mod,-1e-16
"Gender
ND vs MD",Female_ND_vs_Mod,-0.027308675731919
"Gender
ND vs MD",Female_ND_vs_Mod,-0.0131677307632971
"Gender
ND vs MD",Female_ND_vs_Mod,-0.0361714777996047
"Gender
ND vs MD",Female_ND_vs_Mod,-0.031782282752376
"Gender
ND vs MD",Female_ND_vs_Mod,-0.0276128485168072
"Gender
ND vs MD",Female_ND_vs_Mod,-0.0175595797649846
"Gender
ND vs MD",Female_ND_vs_Mod,-0.0067377544082102
"Gender
ND vs MD",Female_ND_vs_Mod,-0.0199385630976401
"Gender
ND vs MD",Female_ND_vs_Mod,-0.0254563390252723
"Gender
ND vs HD",Male_ND_vs_Heavy,-1e-16
"Gender
ND vs HD",Male_ND_vs_Heavy,-0.2031270529496804
"Gender
ND vs HD",Male_ND_vs_Heavy,-1e-16
"Gender
ND vs HD",Male_ND_vs_Heavy,-1e-16
"Gender
ND vs HD",Male_ND_vs_Heavy,-0.7690842202075938
"Gender
ND vs HD",Male_ND_vs_Heavy,-1e-16
"Gender
ND vs HD",Male_ND_vs_Heavy,-1.2043095519642608
"Gender
ND vs HD",Male_ND_vs_Heavy,-1e-16
"Gender
ND vs HD",Male_ND_vs_Heavy,-0.309354881093153
"Gender
ND vs HD",Male_ND_vs_Heavy,-0.0319563333683921
"Gender
ND vs HD",Male_ND_vs_Heavy,-0.0151257606270268
"Gender
ND vs HD",Male_ND_vs_Heavy,-0.0331640862748527
"Gender
ND vs HD",Male_ND_vs_Heavy,-0.0246895161638559
"Gender
ND vs HD",Male_ND_vs_Heavy,-0.0279435988680725
"Gender
ND vs HD",Male_ND_vs_Heavy,-0.0185333153576782
"Gender
ND vs HD",Male_ND_vs_Heavy,-0.0078924063567445
"Gender
ND vs HD",Male_ND_vs_Heavy,-0.0187966818480339
"Gender
ND vs HD",Male_ND_vs_Heavy,-0.0275255831415285
"Gender
ND vs HD",Female_ND_vs_Heavy,-1.4877106741573058
"Gender
ND vs HD",Female_ND_vs_Heavy,-1.41116573033708
"Gender
ND vs HD",Female_ND_vs_Heavy,-1e-16
"Gender
ND vs HD",Female_ND_vs_Heavy,-1.8449789325842687
"Gender
ND vs HD",Female_ND_vs_Heavy,-1.8369030898876384
"Gender
ND vs HD",Female_ND_vs_Heavy,-1.0779494382022463
"Gender
ND vs HD",Female_ND_vs_Heavy,-2.1918890449438213
"Gender
ND vs HD",Female_ND_vs_Heavy,-1e-16
"Gender
ND vs HD",Female_ND_vs_Heavy,-1.819873595505614
"Gender
ND vs HD",Female_ND_vs_Heavy,-0.0282931463004787
"Gender
ND vs HD",Female_ND_vs_Heavy,-0.0140461819244825
"Gender
ND vs HD",Female_ND_vs_Heavy,-0.0371545302971956
"Gender
ND vs HD",Female_ND_vs_Heavy,-0.0324281718874543
"Gender
ND vs HD",Female_ND_vs_Heavy,-0.0298136924642347
"Gender
ND vs HD",Female_ND_vs_Heavy,-0.0199630788626488
"Gender
ND vs HD",Female_ND_vs_Heavy,-0.0075988236730943
"Gender
ND vs HD",Female_ND_vs_Heavy,-0.0205583974228158
"Gender
ND vs HD",Female_ND_vs_Heavy,-0.0272863889548817
