Comparison,Group,Effect
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.726833290366736
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.5926671794452298
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.6866757170024975
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.6244151457968972
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.428413823667634
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.3670648736434247
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.116802566070298
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.7797606798769179
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.4897332461013217
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.6658865105538462
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.5340213152530975
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.1988742854234004
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.768210010827912
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.7373224312923314
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.7261027014524879
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.0327315503593421
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.7842350800075941
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.5345363280699513
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.7188368177076443
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.5865950578505306
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.5210015823382808
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-1e-16
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.5129608994910058
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.6937296307091076
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.9832075330828488
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,0.230860600407448
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0300819919841754
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0138856229909468
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0356121375920504
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0280873613616812
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0274487773617727
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0183863818843343
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0068413792605255
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0191438623319726
"Cirrhosis
ND vs Any",CirrAbsent_ND_vs_Any,-0.0261123183459471
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-2.0703448275862044
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,0.6225560003940878
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-2.293793103448269
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,0.3675288044620597
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,-1.5034482758620695
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,0.6306237935756354
"Cirrhosis
ND vs Any",CirrPresent_ND_vs_Any,0.590910389350702
