pathway,group1,effect1,group2,effect2,difference,abs_difference,mannwhitney_statistic,mannwhitney_pvalue,comparison
alcohol_binary->cardio28,ND_vs_Moderate,-1e-16,ND_vs_Heavy,-0.0058166589111259,-0.0058166589111258,0.0058166589111258,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
alcohol_binary->cns28,ND_vs_Moderate,-1e-16,ND_vs_Heavy,-0.5389626659984952,-0.5389626659984951,0.5389626659984951,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
alcohol_binary->coag28,ND_vs_Moderate,-1e-16,ND_vs_Heavy,-1e-16,0.0,0.0,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
alcohol_binary->hepatic28,ND_vs_Moderate,-1e-16,ND_vs_Heavy,-0.4133944231664159,-0.4133944231664158,0.4133944231664158,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
alcohol_binary->icufd,ND_vs_Moderate,-1e-16,ND_vs_Heavy,-1.2172745820954294,-1.2172745820954294,1.2172745820954294,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
alcohol_binary->orgfree28,ND_vs_Moderate,-1e-16,ND_vs_Heavy,-1e-16,0.0,0.0,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
alcohol_binary->pulmon28,ND_vs_Moderate,-0.1876839744950214,ND_vs_Heavy,-1.572019186025699,-1.3843352115306775,1.3843352115306775,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
alcohol_binary->renal28,ND_vs_Moderate,-1e-16,ND_vs_Heavy,-1e-16,0.0,0.0,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
alcohol_binary->vfd,ND_vs_Moderate,-1e-16,ND_vs_Heavy,-0.962200665783728,-0.9622006657837279,0.9622006657837279,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
cardio28->death90,ND_vs_Moderate,-0.0294062222251153,ND_vs_Heavy,-0.0299559285575334,-0.0005497063324181005,0.0005497063324181005,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
cns28->death90,ND_vs_Moderate,-0.0140965413197701,ND_vs_Heavy,-0.0145240287076032,-0.00042748738783309967,0.00042748738783309967,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
coag28->death90,ND_vs_Moderate,-0.0350286455892177,ND_vs_Heavy,-0.0352380265031955,-0.0002093809139777983,0.0002093809139777983,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
hepatic28->death90,ND_vs_Moderate,-0.0276756669142562,ND_vs_Heavy,-0.0284208626139235,-0.0007451956996673004,0.0007451956996673004,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
icufd->death90,ND_vs_Moderate,-0.0278793988608963,ND_vs_Heavy,-0.0289119204502749,-0.001032521589378603,0.001032521589378603,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
orgfree28->death90,ND_vs_Moderate,-0.0178976225283115,ND_vs_Heavy,-0.0192813149902482,-0.0013836924619366996,0.0013836924619366996,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
pulmon28->death90,ND_vs_Moderate,-0.0068225795466289,ND_vs_Heavy,-0.0077439679390512,-0.0009213883924222999,0.0009213883924222999,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
renal28->death90,ND_vs_Moderate,-0.0193903676612811,ND_vs_Heavy,-0.0196674959490641,-0.0002771282877830003,0.0002771282877830003,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
vfd->death90,ND_vs_Moderate,-0.026500103045536,ND_vs_Heavy,-0.0274125835360716,-0.000912480490535602,0.000912480490535602,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
