pathway,group1,effect1,group2,effect2,difference,abs_difference,mannwhitney_statistic,mannwhitney_pvalue,comparison
cardio28->death90,Cirrhosis_Absent,-0.0300819919841754,Cirrhosis_Present,-0.0315311896787817,-0.0014491976946062989,0.0014491976946062989,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
cns28->death90,Cirrhosis_Absent,-0.0138856229909468,Cirrhosis_Present,-0.0209634371459124,-0.007077814154965601,0.007077814154965601,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
coag28->death90,Cirrhosis_Absent,-0.0356121375920504,Cirrhosis_Present,-0.0285650690013355,0.007047068590714897,0.007047068590714897,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->cardio28,Cirrhosis_Absent,-1e-16,Cirrhosis_Present,-0.0252610675561655,-0.0252610675561654,0.0252610675561654,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->cns28,Cirrhosis_Absent,-1e-16,Cirrhosis_Present,-0.0518703241895366,-0.0518703241895365,0.0518703241895365,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->coag28,Cirrhosis_Absent,-1e-16,Cirrhosis_Present,-0.0254472948359349,-0.0254472948359348,0.0254472948359348,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->hepatic28,Cirrhosis_Absent,-1e-16,Cirrhosis_Present,-0.0293018680547376,-0.0293018680547375,0.0293018680547375,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->icufd,Cirrhosis_Absent,-0.0042947282167418,Cirrhosis_Present,-0.1010359834120517,-0.09674125519530989,0.09674125519530989,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->orgfree28,Cirrhosis_Absent,-1e-16,Cirrhosis_Present,-1e-16,0.0,0.0,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->pulmon28,Cirrhosis_Absent,-0.036250789851274,Cirrhosis_Present,-0.0498851052265116,-0.013634315375237599,0.013634315375237599,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->renal28,Cirrhosis_Absent,-1e-16,Cirrhosis_Present,-0.0717351700425688,-0.0717351700425687,0.0717351700425687,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->vfd,Cirrhosis_Absent,-1e-16,Cirrhosis_Present,-0.0934695208207205,-0.09346952082072041,0.09346952082072041,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
hepatic28->death90,Cirrhosis_Absent,-0.0280873613616812,Cirrhosis_Present,-0.0239666352443802,0.004120726117301,0.004120726117301,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
icufd->death90,Cirrhosis_Absent,-0.0274487773617727,Cirrhosis_Present,-0.0365987484058488,-0.0091499710440761,0.0091499710440761,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
orgfree28->death90,Cirrhosis_Absent,-0.0183863818843343,Cirrhosis_Present,-0.017447223938881,0.0009391579454533019,0.0009391579454533019,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
pulmon28->death90,Cirrhosis_Absent,-0.0068413792605255,Cirrhosis_Present,-0.0094931294575424,-0.002651750197016899,0.002651750197016899,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
renal28->death90,Cirrhosis_Absent,-0.0191438623319726,Cirrhosis_Present,-0.0224338755463432,-0.003290013214370599,0.003290013214370599,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
vfd->death90,Cirrhosis_Absent,-0.0261123183459471,Cirrhosis_Present,-0.0382891940024123,-0.012176875656465198,0.012176875656465198,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
