pathway,group1,effect1,group2,effect2,difference,abs_difference,mannwhitney_statistic,mannwhitney_pvalue,comparison
alcohol_binary->cardio28,CirrAbsent_ND_vs_Any,-1e-16,CirrPresent_ND_vs_Any,-2.0703448275862044,-2.0703448275862044,2.0703448275862044,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
alcohol_binary->cns28,CirrAbsent_ND_vs_Any,-1e-16,CirrPresent_ND_vs_Any,-2.293793103448269,-2.293793103448269,2.293793103448269,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
alcohol_binary->coag28,CirrAbsent_ND_vs_Any,-1e-16,CirrPresent_ND_vs_Any,-1.5034482758620695,-1.5034482758620695,1.5034482758620695,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
alcohol_binary->hepatic28,CirrAbsent_ND_vs_Any,-1e-16,CirrPresent_ND_vs_Any,-0.1820689655172422,-0.18206896551724208,0.18206896551724208,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
alcohol_binary->icufd,CirrAbsent_ND_vs_Any,-1e-16,CirrPresent_ND_vs_Any,-6.120000000000001,-6.120000000000001,6.120000000000001,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
alcohol_binary->orgfree28,CirrAbsent_ND_vs_Any,-1e-16,CirrPresent_ND_vs_Any,-1e-16,0.0,0.0,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
alcohol_binary->pulmon28,CirrAbsent_ND_vs_Any,-0.5345363280699513,CirrPresent_ND_vs_Any,-3.03862068965517,-2.504084361585219,2.504084361585219,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
alcohol_binary->renal28,CirrAbsent_ND_vs_Any,-1e-16,CirrPresent_ND_vs_Any,-2.4468965517241443,-2.4468965517241443,2.4468965517241443,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
alcohol_binary->vfd,CirrAbsent_ND_vs_Any,-1e-16,CirrPresent_ND_vs_Any,-5.748965517241377,-5.748965517241377,5.748965517241377,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
cardio28->death90,CirrAbsent_ND_vs_Any,-0.0300819919841754,CirrPresent_ND_vs_Any,-0.0315311896787817,-0.0014491976946062989,0.0014491976946062989,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
cns28->death90,CirrAbsent_ND_vs_Any,-0.0138856229909468,CirrPresent_ND_vs_Any,-0.0209634371459124,-0.007077814154965601,0.007077814154965601,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
coag28->death90,CirrAbsent_ND_vs_Any,-0.0356121375920504,CirrPresent_ND_vs_Any,-0.0285650690013355,0.007047068590714897,0.007047068590714897,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
hepatic28->death90,CirrAbsent_ND_vs_Any,-0.0280873613616812,CirrPresent_ND_vs_Any,-0.0239666352443802,0.004120726117301,0.004120726117301,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
icufd->death90,CirrAbsent_ND_vs_Any,-0.0274487773617727,CirrPresent_ND_vs_Any,-0.0365987484058488,-0.0091499710440761,0.0091499710440761,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
orgfree28->death90,CirrAbsent_ND_vs_Any,-0.0183863818843343,CirrPresent_ND_vs_Any,-0.017447223938881,0.0009391579454533019,0.0009391579454533019,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
pulmon28->death90,CirrAbsent_ND_vs_Any,-0.0068413792605255,CirrPresent_ND_vs_Any,-0.0094931294575424,-0.002651750197016899,0.002651750197016899,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
renal28->death90,CirrAbsent_ND_vs_Any,-0.0191438623319726,CirrPresent_ND_vs_Any,-0.0224338755463432,-0.003290013214370599,0.003290013214370599,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
vfd->death90,CirrAbsent_ND_vs_Any,-0.0261123183459471,CirrPresent_ND_vs_Any,-0.0382891940024123,-0.012176875656465198,0.012176875656465198,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
