pathway,group1,effect1,group2,effect2,difference,abs_difference,mannwhitney_statistic,mannwhitney_pvalue,comparison
alcohol_binary->cardio28,CirrAbsent_ND_vs_Mod,-1e-16,CirrPresent_ND_vs_Mod,-1e-16,0.0,0.0,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
alcohol_binary->cns28,CirrAbsent_ND_vs_Mod,-1e-16,CirrPresent_ND_vs_Mod,-1e-16,0.0,0.0,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
alcohol_binary->coag28,CirrAbsent_ND_vs_Mod,-1e-16,CirrPresent_ND_vs_Mod,-1e-16,0.0,0.0,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
alcohol_binary->hepatic28,CirrAbsent_ND_vs_Mod,-1e-16,CirrPresent_ND_vs_Mod,-1e-16,0.0,0.0,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
alcohol_binary->icufd,CirrAbsent_ND_vs_Mod,-1e-16,CirrPresent_ND_vs_Mod,-0.2628571428571433,-0.2628571428571432,0.2628571428571432,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
alcohol_binary->orgfree28,CirrAbsent_ND_vs_Mod,-1e-16,CirrPresent_ND_vs_Mod,-1e-16,0.0,0.0,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
alcohol_binary->pulmon28,CirrAbsent_ND_vs_Mod,-0.1413927789826994,CirrPresent_ND_vs_Mod,-1.5657142857142867,-1.4243215067315873,1.4243215067315873,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
alcohol_binary->renal28,CirrAbsent_ND_vs_Mod,-1e-16,CirrPresent_ND_vs_Mod,-1e-16,0.0,0.0,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
alcohol_binary->vfd,CirrAbsent_ND_vs_Mod,-1e-16,CirrPresent_ND_vs_Mod,-1e-16,0.0,0.0,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
cardio28->death90,CirrAbsent_ND_vs_Mod,-0.0296168259647452,CirrPresent_ND_vs_Mod,-0.0234495988490013,0.006167227115743901,0.006167227115743901,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
cns28->death90,CirrAbsent_ND_vs_Mod,-0.0139334712882345,CirrPresent_ND_vs_Mod,-0.0197279330296687,-0.005794461741434201,0.005794461741434201,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
coag28->death90,CirrAbsent_ND_vs_Mod,-0.0355007516003262,CirrPresent_ND_vs_Mod,-0.0258447488584474,0.009656002741878802,0.009656002741878802,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
hepatic28->death90,CirrAbsent_ND_vs_Mod,-0.0282132000993656,CirrPresent_ND_vs_Mod,-0.0189232983983698,0.0092899017009958,0.0092899017009958,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
icufd->death90,CirrAbsent_ND_vs_Mod,-0.0276061929777416,CirrPresent_ND_vs_Mod,-0.0377818009396956,-0.010175607961954002,0.010175607961954002,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
orgfree28->death90,CirrAbsent_ND_vs_Mod,-0.0181500520124328,CirrPresent_ND_vs_Mod,-0.0102360192903452,0.007914032722087601,0.007914032722087601,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
pulmon28->death90,CirrAbsent_ND_vs_Mod,-0.0068389684899747,CirrPresent_ND_vs_Mod,-0.006821880085117,1.708840485769962e-05,1.708840485769962e-05,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
renal28->death90,CirrAbsent_ND_vs_Mod,-0.0194638931770365,CirrPresent_ND_vs_Mod,-0.0176270751874879,0.0018368179895486003,0.0018368179895486003,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
vfd->death90,CirrAbsent_ND_vs_Mod,-0.0261053451568534,CirrPresent_ND_vs_Mod,-0.0387573651342483,-0.012652019977394902,0.012652019977394902,172.0,0.7550246108625782,4_Cirrhosis_ND_vs_MD
