pathway,group1,effect1,group2,effect2,difference,abs_difference,mannwhitney_statistic,mannwhitney_pvalue,comparison
cardio28->death90,Male_drinks_per_week,-0.032487496088985,Female_drinks_per_week,-0.0279108587171621,0.004576637371822897,0.004576637371822897,207.5,0.15228815958799943,6_Gender_drinks_per_week
cns28->death90,Male_drinks_per_week,-0.0147946990909729,Female_drinks_per_week,-0.0136919359992565,0.0011027630917164015,0.0011027630917164015,207.5,0.15228815958799943,6_Gender_drinks_per_week
coag28->death90,Male_drinks_per_week,-0.0340965504791419,Female_drinks_per_week,-0.0363382203587434,-0.0022416698796014975,0.0022416698796014975,207.5,0.15228815958799943,6_Gender_drinks_per_week
drinks_per_week->cardio28,Male_drinks_per_week,-1e-16,Female_drinks_per_week,-0.0223179938078139,-0.0223179938078138,0.0223179938078138,207.5,0.15228815958799943,6_Gender_drinks_per_week
drinks_per_week->cns28,Male_drinks_per_week,-0.0132436915701958,Female_drinks_per_week,-1e-16,0.0132436915701957,0.0132436915701957,207.5,0.15228815958799943,6_Gender_drinks_per_week
drinks_per_week->coag28,Male_drinks_per_week,-1e-16,Female_drinks_per_week,-1e-16,0.0,0.0,207.5,0.15228815958799943,6_Gender_drinks_per_week
drinks_per_week->hepatic28,Male_drinks_per_week,-1e-16,Female_drinks_per_week,-0.0431385120424181,-0.043138512042418004,0.043138512042418004,207.5,0.15228815958799943,6_Gender_drinks_per_week
drinks_per_week->icufd,Male_drinks_per_week,-0.0179552807078078,Female_drinks_per_week,-0.0235829338499673,-0.005627653142159499,0.005627653142159499,207.5,0.15228815958799943,6_Gender_drinks_per_week
drinks_per_week->orgfree28,Male_drinks_per_week,-1e-16,Female_drinks_per_week,-0.0337481269163379,-0.0337481269163378,0.0337481269163378,207.5,0.15228815958799943,6_Gender_drinks_per_week
drinks_per_week->pulmon28,Male_drinks_per_week,-0.029354521208317,Female_drinks_per_week,-0.0571348995820599,-0.027780378373742903,0.027780378373742903,207.5,0.15228815958799943,6_Gender_drinks_per_week
drinks_per_week->renal28,Male_drinks_per_week,-1e-16,Female_drinks_per_week,-1e-16,0.0,0.0,207.5,0.15228815958799943,6_Gender_drinks_per_week
drinks_per_week->vfd,Male_drinks_per_week,-0.0103167806395418,Female_drinks_per_week,-0.0171625940789095,-0.006845813439367699,0.006845813439367699,207.5,0.15228815958799943,6_Gender_drinks_per_week
hepatic28->death90,Male_drinks_per_week,-0.0245595677212122,Female_drinks_per_week,-0.0320134567968338,-0.0074538890756216045,0.0074538890756216045,207.5,0.15228815958799943,6_Gender_drinks_per_week
icufd->death90,Male_drinks_per_week,-0.0276244377914367,Female_drinks_per_week,-0.0283657797358553,-0.0007413419444186019,0.0007413419444186019,207.5,0.15228815958799943,6_Gender_drinks_per_week
orgfree28->death90,Male_drinks_per_week,-0.0182625128194922,Female_drinks_per_week,-0.018635710578832,-0.0003731977593397981,0.0003731977593397981,207.5,0.15228815958799943,6_Gender_drinks_per_week
pulmon28->death90,Male_drinks_per_week,-0.0069518898227899,Female_drinks_per_week,-0.0070161030793822,-6.421325659229996e-05,6.421325659229996e-05,207.5,0.15228815958799943,6_Gender_drinks_per_week
renal28->death90,Male_drinks_per_week,-0.0188063107604863,Female_drinks_per_week,-0.0200251221915669,-0.001218811431080602,0.001218811431080602,207.5,0.15228815958799943,6_Gender_drinks_per_week
vfd->death90,Male_drinks_per_week,-0.0272596681150372,Female_drinks_per_week,-0.0262597276472309,0.0009999404678062984,0.0009999404678062984,207.5,0.15228815958799943,6_Gender_drinks_per_week
