pathway,group1,effect1,group2,effect2,difference,abs_difference,mannwhitney_statistic,mannwhitney_pvalue,comparison
alcohol_binary->cardio28,Male_ND_vs_Heavy,-1e-16,Female_ND_vs_Heavy,-1.4877106741573058,-1.4877106741573058,1.4877106741573058,220.0,0.06787875262148553,7_Gender_ND_vs_HD
alcohol_binary->cns28,Male_ND_vs_Heavy,-0.2031270529496804,Female_ND_vs_Heavy,-1.41116573033708,-1.2080386773873995,1.2080386773873995,220.0,0.06787875262148553,7_Gender_ND_vs_HD
alcohol_binary->coag28,Male_ND_vs_Heavy,-1e-16,Female_ND_vs_Heavy,-1e-16,0.0,0.0,220.0,0.06787875262148553,7_Gender_ND_vs_HD
alcohol_binary->hepatic28,Male_ND_vs_Heavy,-1e-16,Female_ND_vs_Heavy,-1.8449789325842687,-1.8449789325842687,1.8449789325842687,220.0,0.06787875262148553,7_Gender_ND_vs_HD
alcohol_binary->icufd,Male_ND_vs_Heavy,-0.7690842202075938,Female_ND_vs_Heavy,-1.8369030898876384,-1.0678188696800446,1.0678188696800446,220.0,0.06787875262148553,7_Gender_ND_vs_HD
alcohol_binary->orgfree28,Male_ND_vs_Heavy,-1e-16,Female_ND_vs_Heavy,-1.0779494382022463,-1.0779494382022463,1.0779494382022463,220.0,0.06787875262148553,7_Gender_ND_vs_HD
alcohol_binary->pulmon28,Male_ND_vs_Heavy,-1.2043095519642608,Female_ND_vs_Heavy,-2.1918890449438213,-0.9875794929795605,0.9875794929795605,220.0,0.06787875262148553,7_Gender_ND_vs_HD
alcohol_binary->renal28,Male_ND_vs_Heavy,-1e-16,Female_ND_vs_Heavy,-1e-16,0.0,0.0,220.0,0.06787875262148553,7_Gender_ND_vs_HD
alcohol_binary->vfd,Male_ND_vs_Heavy,-0.309354881093153,Female_ND_vs_Heavy,-1.819873595505614,-1.510518714412461,1.510518714412461,220.0,0.06787875262148553,7_Gender_ND_vs_HD
cardio28->death90,Male_ND_vs_Heavy,-0.0319563333683921,Female_ND_vs_Heavy,-0.0282931463004787,0.003663187067913399,0.003663187067913399,220.0,0.06787875262148553,7_Gender_ND_vs_HD
cns28->death90,Male_ND_vs_Heavy,-0.0151257606270268,Female_ND_vs_Heavy,-0.0140461819244825,0.0010795787025443,0.0010795787025443,220.0,0.06787875262148553,7_Gender_ND_vs_HD
coag28->death90,Male_ND_vs_Heavy,-0.0331640862748527,Female_ND_vs_Heavy,-0.0371545302971956,-0.003990444022342901,0.003990444022342901,220.0,0.06787875262148553,7_Gender_ND_vs_HD
hepatic28->death90,Male_ND_vs_Heavy,-0.0246895161638559,Female_ND_vs_Heavy,-0.0324281718874543,-0.007738655723598404,0.007738655723598404,220.0,0.06787875262148553,7_Gender_ND_vs_HD
icufd->death90,Male_ND_vs_Heavy,-0.0279435988680725,Female_ND_vs_Heavy,-0.0298136924642347,-0.0018700935961621992,0.0018700935961621992,220.0,0.06787875262148553,7_Gender_ND_vs_HD
orgfree28->death90,Male_ND_vs_Heavy,-0.0185333153576782,Female_ND_vs_Heavy,-0.0199630788626488,-0.0014297635049705971,0.0014297635049705971,220.0,0.06787875262148553,7_Gender_ND_vs_HD
pulmon28->death90,Male_ND_vs_Heavy,-0.0078924063567445,Female_ND_vs_Heavy,-0.0075988236730943,0.0002935826836501995,0.0002935826836501995,220.0,0.06787875262148553,7_Gender_ND_vs_HD
renal28->death90,Male_ND_vs_Heavy,-0.0187966818480339,Female_ND_vs_Heavy,-0.0205583974228158,-0.0017617155747818997,0.0017617155747818997,220.0,0.06787875262148553,7_Gender_ND_vs_HD
vfd->death90,Male_ND_vs_Heavy,-0.0275255831415285,Female_ND_vs_Heavy,-0.0272863889548817,0.0002391941866468003,0.0002391941866468003,220.0,0.06787875262148553,7_Gender_ND_vs_HD
