pathway,group1,effect1,group2,effect2,difference,abs_difference,mannwhitney_statistic,mannwhitney_pvalue,comparison
alcohol_binary->cardio28,Male_ND_vs_Mod,-1e-16,Female_ND_vs_Mod,-1e-16,0.0,0.0,148.0,0.6516393859232297,9_Gender_ND_vs_MD
alcohol_binary->cns28,Male_ND_vs_Mod,-1e-16,Female_ND_vs_Mod,-1e-16,0.0,0.0,148.0,0.6516393859232297,9_Gender_ND_vs_MD
alcohol_binary->coag28,Male_ND_vs_Mod,-1e-16,Female_ND_vs_Mod,-1e-16,0.0,0.0,148.0,0.6516393859232297,9_Gender_ND_vs_MD
alcohol_binary->hepatic28,Male_ND_vs_Mod,-1e-16,Female_ND_vs_Mod,-1e-16,0.0,0.0,148.0,0.6516393859232297,9_Gender_ND_vs_MD
alcohol_binary->icufd,Male_ND_vs_Mod,-1e-16,Female_ND_vs_Mod,-1e-16,0.0,0.0,148.0,0.6516393859232297,9_Gender_ND_vs_MD
alcohol_binary->orgfree28,Male_ND_vs_Mod,-1e-16,Female_ND_vs_Mod,-1e-16,0.0,0.0,148.0,0.6516393859232297,9_Gender_ND_vs_MD
alcohol_binary->pulmon28,Male_ND_vs_Mod,-0.3753013612254738,Female_ND_vs_Mod,-1e-16,0.3753013612254737,0.3753013612254737,148.0,0.6516393859232297,9_Gender_ND_vs_MD
alcohol_binary->renal28,Male_ND_vs_Mod,-1e-16,Female_ND_vs_Mod,-1e-16,0.0,0.0,148.0,0.6516393859232297,9_Gender_ND_vs_MD
alcohol_binary->vfd,Male_ND_vs_Mod,-1e-16,Female_ND_vs_Mod,-1e-16,0.0,0.0,148.0,0.6516393859232297,9_Gender_ND_vs_MD
cardio28->death90,Male_ND_vs_Mod,-0.031572427878488,Female_ND_vs_Mod,-0.027308675731919,0.004263752146568999,0.004263752146568999,148.0,0.6516393859232297,9_Gender_ND_vs_MD
cns28->death90,Male_ND_vs_Mod,-0.0150703476207758,Female_ND_vs_Mod,-0.0131677307632971,0.0019026168574787002,0.0019026168574787002,148.0,0.6516393859232297,9_Gender_ND_vs_MD
coag28->death90,Male_ND_vs_Mod,-0.0338231993488518,Female_ND_vs_Mod,-0.0361714777996047,-0.0023482784507529025,0.0023482784507529025,148.0,0.6516393859232297,9_Gender_ND_vs_MD
hepatic28->death90,Male_ND_vs_Mod,-0.0243355497505894,Female_ND_vs_Mod,-0.031782282752376,-0.007446733001786596,0.007446733001786596,148.0,0.6516393859232297,9_Gender_ND_vs_MD
icufd->death90,Male_ND_vs_Mod,-0.0280519878573212,Female_ND_vs_Mod,-0.0276128485168072,0.0004391393405140005,0.0004391393405140005,148.0,0.6516393859232297,9_Gender_ND_vs_MD
orgfree28->death90,Male_ND_vs_Mod,-0.0181367268485567,Female_ND_vs_Mod,-0.0175595797649846,0.0005771470835721007,0.0005771470835721007,148.0,0.6516393859232297,9_Gender_ND_vs_MD
pulmon28->death90,Male_ND_vs_Mod,-0.0068308070459959,Female_ND_vs_Mod,-0.0067377544082102,9.305263778569984e-05,9.305263778569984e-05,148.0,0.6516393859232297,9_Gender_ND_vs_MD
renal28->death90,Male_ND_vs_Mod,-0.0188306834070641,Female_ND_vs_Mod,-0.0199385630976401,-0.0011078796905760017,0.0011078796905760017,148.0,0.6516393859232297,9_Gender_ND_vs_MD
vfd->death90,Male_ND_vs_Mod,-0.0274270430486555,Female_ND_vs_Mod,-0.0254563390252723,0.001970704023383202,0.001970704023383202,148.0,0.6516393859232297,9_Gender_ND_vs_MD
