pathway,group1,effect1,group2,effect2,difference,abs_difference,mannwhitney_statistic,mannwhitney_pvalue,comparison
alcohol_binary->cardio28,ND_vs_Moderate,-1e-16,ND_vs_Heavy,-0.0058166589111259,-0.0058166589111258,0.0058166589111258,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
alcohol_binary->cns28,ND_vs_Moderate,-1e-16,ND_vs_Heavy,-0.5389626659984952,-0.5389626659984951,0.5389626659984951,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
alcohol_binary->coag28,ND_vs_Moderate,-1e-16,ND_vs_Heavy,-1e-16,0.0,0.0,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
alcohol_binary->hepatic28,ND_vs_Moderate,-1e-16,ND_vs_Heavy,-0.4133944231664159,-0.4133944231664158,0.4133944231664158,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
alcohol_binary->icufd,ND_vs_Moderate,-1e-16,ND_vs_Heavy,-1.2172745820954294,-1.2172745820954294,1.2172745820954294,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
alcohol_binary->orgfree28,ND_vs_Moderate,-1e-16,ND_vs_Heavy,-1e-16,0.0,0.0,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
alcohol_binary->pulmon28,ND_vs_Moderate,-0.1876839744950214,ND_vs_Heavy,-1.572019186025699,-1.3843352115306775,1.3843352115306775,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
alcohol_binary->renal28,ND_vs_Moderate,-1e-16,ND_vs_Heavy,-1e-16,0.0,0.0,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
alcohol_binary->vfd,ND_vs_Moderate,-1e-16,ND_vs_Heavy,-0.962200665783728,-0.9622006657837279,0.9622006657837279,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
cardio28->death90,ND_vs_Moderate,-0.0294062222251153,ND_vs_Heavy,-0.0299559285575334,-0.0005497063324181005,0.0005497063324181005,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
cns28->death90,ND_vs_Moderate,-0.0140965413197701,ND_vs_Heavy,-0.0145240287076032,-0.00042748738783309967,0.00042748738783309967,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
coag28->death90,ND_vs_Moderate,-0.0350286455892177,ND_vs_Heavy,-0.0352380265031955,-0.0002093809139777983,0.0002093809139777983,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
hepatic28->death90,ND_vs_Moderate,-0.0276756669142562,ND_vs_Heavy,-0.0284208626139235,-0.0007451956996673004,0.0007451956996673004,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
icufd->death90,ND_vs_Moderate,-0.0278793988608963,ND_vs_Heavy,-0.0289119204502749,-0.001032521589378603,0.001032521589378603,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
orgfree28->death90,ND_vs_Moderate,-0.0178976225283115,ND_vs_Heavy,-0.0192813149902482,-0.0013836924619366996,0.0013836924619366996,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
pulmon28->death90,ND_vs_Moderate,-0.0068225795466289,ND_vs_Heavy,-0.0077439679390512,-0.0009213883924222999,0.0009213883924222999,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
renal28->death90,ND_vs_Moderate,-0.0193903676612811,ND_vs_Heavy,-0.0196674959490641,-0.0002771282877830003,0.0002771282877830003,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
vfd->death90,ND_vs_Moderate,-0.026500103045536,ND_vs_Heavy,-0.0274125835360716,-0.000912480490535602,0.000912480490535602,228.0,0.03552662355331646,1_All_Drinkers_MD_vs_HD
cardio28->death90,Cirrhosis_Absent,-0.0300819919841754,Cirrhosis_Present,-0.0315311896787817,-0.0014491976946062989,0.0014491976946062989,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
cns28->death90,Cirrhosis_Absent,-0.0138856229909468,Cirrhosis_Present,-0.0209634371459124,-0.007077814154965601,0.007077814154965601,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
coag28->death90,Cirrhosis_Absent,-0.0356121375920504,Cirrhosis_Present,-0.0285650690013355,0.007047068590714897,0.007047068590714897,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->cardio28,Cirrhosis_Absent,-1e-16,Cirrhosis_Present,-0.0252610675561655,-0.0252610675561654,0.0252610675561654,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->cns28,Cirrhosis_Absent,-1e-16,Cirrhosis_Present,-0.0518703241895366,-0.0518703241895365,0.0518703241895365,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->coag28,Cirrhosis_Absent,-1e-16,Cirrhosis_Present,-0.0254472948359349,-0.0254472948359348,0.0254472948359348,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->hepatic28,Cirrhosis_Absent,-1e-16,Cirrhosis_Present,-0.0293018680547376,-0.0293018680547375,0.0293018680547375,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->icufd,Cirrhosis_Absent,-0.0042947282167418,Cirrhosis_Present,-0.1010359834120517,-0.09674125519530989,0.09674125519530989,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->orgfree28,Cirrhosis_Absent,-1e-16,Cirrhosis_Present,-1e-16,0.0,0.0,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->pulmon28,Cirrhosis_Absent,-0.036250789851274,Cirrhosis_Present,-0.0498851052265116,-0.013634315375237599,0.013634315375237599,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->renal28,Cirrhosis_Absent,-1e-16,Cirrhosis_Present,-0.0717351700425688,-0.0717351700425687,0.0717351700425687,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
drinks_per_week->vfd,Cirrhosis_Absent,-1e-16,Cirrhosis_Present,-0.0934695208207205,-0.09346952082072041,0.09346952082072041,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
hepatic28->death90,Cirrhosis_Absent,-0.0280873613616812,Cirrhosis_Present,-0.0239666352443802,0.004120726117301,0.004120726117301,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
icufd->death90,Cirrhosis_Absent,-0.0274487773617727,Cirrhosis_Present,-0.0365987484058488,-0.0091499710440761,0.0091499710440761,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
orgfree28->death90,Cirrhosis_Absent,-0.0183863818843343,Cirrhosis_Present,-0.017447223938881,0.0009391579454533019,0.0009391579454533019,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
pulmon28->death90,Cirrhosis_Absent,-0.0068413792605255,Cirrhosis_Present,-0.0094931294575424,-0.002651750197016899,0.002651750197016899,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
renal28->death90,Cirrhosis_Absent,-0.0191438623319726,Cirrhosis_Present,-0.0224338755463432,-0.003290013214370599,0.003290013214370599,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
vfd->death90,Cirrhosis_Absent,-0.0261123183459471,Cirrhosis_Present,-0.0382891940024123,-0.012176875656465198,0.012176875656465198,254.5,0.0034267421331923135,2_Cirrhosis_drinks_per_week
alcohol_binary->cardio28,CirrAbsent_ND_vs_Any,-1e-16,CirrPresent_ND_vs_Any,-2.0703448275862044,-2.0703448275862044,2.0703448275862044,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
alcohol_binary->cns28,CirrAbsent_ND_vs_Any,-1e-16,CirrPresent_ND_vs_Any,-2.293793103448269,-2.293793103448269,2.293793103448269,267.0,0.000862044204187383,3_Cirrhosis_ND_vs_Any
